set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Continuous Hinge(s),780-112HD x LAR EPT Prep,HA,CLR,,Hager,Clear,,19,"[65.9, 118.1, 550.1, 128.0]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Power Transfer(s),2-679-0623,HA,ALM,,Hager,Aluminum,,19,"[65.9, 129.6, 550.1, 139.6]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Exit Device,40-CBK ER EX EC2,DE,630,,,Satin stainless steel,,19,"[65.9, 141.1, 549.0, 151.1]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Mortise Cylinder(s),3902 x LAR,HA,US26D,,Hager,Satin chrome,,19,"[65.9, 152.6, 550.1, 162.6]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Construction Core(s),3982-BLU,HA,BLU,,Hager,,,19,"[65.9, 164.2, 550.1, 174.1]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,SFIC Core(s),3969-C,HA,US26D,,Hager,Satin chrome,,19,"[65.9, 175.6, 550.1, 185.5]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Offset Door Pull(s),910P 36,HA,US10B,,Hager,Oil-rubbed bronze,,19,"[65.9, 187.1, 550.1, 197.0]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Overhead Stop(s),7016 SRF,HA,US32D,,Hager,Satin stainless,,19,"[65.9, 198.6, 550.1, 208.6]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Single Operator,8318 Push,HA,ALM,,Hager,Aluminum,,19,"[65.9, 210.1, 550.1, 220.1]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Thermally Broken Threshold,420S x LAR,HA,MIL,,Hager,Mill,,19,"[65.9, 221.6, 550.1, 231.6]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Weatherstrip,By Frame Mfr./Supplier,,,,,,,19,"[65.9, 233.2, 308.7, 243.1]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Sweep(s),750S N x LAR,HA,CLR,,Hager,Clear,,19,"[65.9, 244.6, 550.1, 254.5]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Rain Drip,810S x LAR,HA,MIL,,Hager,Mill,,19,"[65.9, 256.1, 550.1, 266.0]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Door Position Switch(es),2-679-0626,HA,,,Hager,,,19,"[65.9, 267.6, 550.1, 277.6]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,2,,Actuator(s),8228-02H/00,HA,US32D,,Hager,Satin stainless,,19,"[65.9, 279.1, 550.1, 289.1]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Reader/Keypad,By Security Provider,,,,,,,19,"[65.9, 290.6, 296.2, 300.6]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Intercom,By Security Provider,,,,,,,19,"[65.9, 302.2, 296.2, 312.1]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Remote Exit Button,By Security Provider,,,,,,,19,"[65.9, 313.6, 296.2, 323.5]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Power Supply,By Security Provider,,,,,,,19,"[65.9, 325.1, 296.2, 335.0]",
AL 01,,False,"D101A, D149A, D153A",19,0.95,1,,Wiring Diagrams,Wiring Diagrams,,,,,,,19,"[65.9, 336.6, 281.4, 346.6]",
01,,False,"OH115, OH122, OH125",19,0.91,1,,Hardware,by Door Mfr./Supplier,,,,,,,19,"[65.9, 494.0, 302.0, 504.0]",
02,,False,D118A,20,0.94,1,,Continuous Hinge(s),780-111HD x LAR,HA,CLR,,Hager,Clear,,20,"[65.9, 106.7, 550.1, 116.6]",
02,,False,D118A,20,0.94,1,,Continuous Hinge(s),780-111HD x LAR EPT Prep,HA,CLR,,Hager,Clear,,20,"[65.9, 118.1, 550.1, 128.0]",
02,,False,D118A,20,0.94,1,,Power Transfer(s),2-679-0623,HA,ALM,,Hager,Aluminum,,20,"[65.9, 129.6, 550.1, 139.6]",
02,,False,D118A,20,0.94,1,,Automatic Flush Bolt Set,292D,HA,US32D,,Hager,Satin stainless,,20,"[65.9, 141.1, 550.1, 151.1]",
02,,False,D118A,20,0.94,1,,Dust Proof Strike,280X,HA,US26D,,Hager,Satin chrome,,20,"[65.9, 152.6, 550.1, 162.6]",
02,,False,D118A,20,0.94,1,,Exit Device(s),4501 M MLRX FEC,HA,US32D,,Hager,Satin stainless,,20,"[65.9, 164.2, 550.1, 174.1]",
02,,False,D118A,20,0.94,1,,Rim Cylinder(s),3901 SFIC,HA,US26D,,Hager,Satin chrome,,20,"[65.9, 175.6, 550.1, 185.5]",
02,,False,D118A,20,0.94,1,,Construction Core(s),3982-BLU,HA,BLU,,Hager,,,20,"[65.9, 187.1, 550.1, 197.0]",
02,,False,D118A,20,0.94,1,,SFIC Core(s),3969-C,HA,US26D,,Hager,Satin chrome,,20,"[65.9, 198.6, 550.1, 208.6]",
02,,False,D118A,20,0.94,1,,Door Pull(s),H 12J,HA,US32D,,Hager,Satin stainless,,20,"[65.9, 210.1, 550.1, 220.1]",
02,,False,D118A,20,0.94,1,,Coordinator,297D x LAR,HA,BLACK,,Hager,Black,,20,"[65.9, 221.6, 550.1, 231.6]",
02,,False,D118A,20,0.94,2,,Mounting Bracket(s),297B,HA,BLACK,,Hager,Black,,20,"[65.9, 233.2, 550.1, 243.1]",
02,,False,D118A,20,0.94,1,,Overhead Stop(s) Active Leaf,7016 SRF,HA,US32D,,Hager,Satin stainless,,20,"[65.9, 244.6, 550.1, 266.0]",
02,,False,D118A,20,0.94,1,,Closer(s) Top Jamb Mount,5200,HA,ALM,,Hager,Aluminum,,20,"[65.9, 267.6, 550.1, 289.1]",
02,,False,D118A,20,0.94,1,,Single Operator,8318 Push,HA,ALM,,Hager,Aluminum,,20,"[65.9, 290.6, 550.1, 300.6]",
02,,False,D118A,20,0.94,2,,Kick Plate(s),"190S 10"" x 1"" LDW",HA,US32D,,Hager,Satin stainless,,20,"[65.9, 302.2, 550.1, 312.1]",
02,,False,D118A,20,0.94,1,,Floor Stop(s),267F,HA,US26D,,Hager,Satin chrome,,20,"[65.9, 313.6, 550.1, 323.5]",
02,,False,D118A,20,0.94,1,,Thermally Broken Threshold,421S x LAR,HA,MIL,,Hager,Mill,,20,"[65.9, 325.1, 550.1, 335.0]",
02,,False,D118A,20,0.94,1,,Seal,726 x LAR,HA,S,,Hager,,,20,"[65.9, 336.6, 550.1, 346.6]",
02,,False,D118A,20,0.94,1,,Astragal(s),835S x LAR,HA,USP,,Hager,,,20,"[65.9, 348.1, 550.1, 358.1]",
02,,False,D118A,20,0.94,1,,Astragal Seal(s),726 x LAR,HA,S,,Hager,,,20,"[65.9, 359.6, 550.1, 369.6]",
02,,False,D118A,20,0.94,2,,Sweep(s),750S N x LAR,HA,CLR,,Hager,Clear,,20,"[65.9, 371.2, 550.1, 381.1]",
02,,False,D118A,20,0.94,1,,Rain Drip,810S x LAR,HA,MIL,,Hager,Mill,,20,"[65.9, 382.6, 550.1, 392.5]",
02,,False,D118A,20,0.94,2,,Actuator(s),8228-02H/00,HA,US32D,,Hager,Satin stainless,,20,"[65.9, 394.1, 550.1, 404.0]",
02,,False,D118A,20,0.94,2,,Door Position Switch(es),2-679-0626,HA,,,Hager,,,20,"[65.9, 405.6, 550.1, 415.6]",
02,,False,D118A,20,0.94,1,,Reader/Keypad,By Security Provider,,,,,,,20,"[65.9, 417.1, 296.2, 427.1]",
02,,False,D118A,20,0.94,1,,Intercom,By Security Provider,,,,,,,20,"[65.9, 428.6, 296.2, 438.6]",
02,,False,D118A,20,0.94,1,,Remote Exit Button,By Security Provider,,,,,,,20,"[65.9, 440.0, 296.2, 450.0]",
