set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
1,,False,101,3,0.95,3,,Standard Hinge,"T4A3386 5"" x 4 1/2"" C32D NRP",,C32D,,,Satin stainless,,3,"[108.7, 195.9, 539.1, 204.3]",
1,,False,101,3,0.95,1,,Exit Device,25-R-L-NL 622 510L-NL LAT 626 RHR 965 x 2134 Door,,626/622,,,,,3,"[108.7, 207.6, 548.0, 216.0]",
1,,False,101,3,0.95,1,,Cylinder,"985 626 1 1/4"" G 6-Pin Open",,626,,,Satin chrome,,3,"[108.7, 219.4, 531.6, 227.8]",
1,,False,101,3,0.95,1,,Surface Closer,SC71A Rw/ PA 689,,689,,,Aluminum painted,,3,"[108.7, 231.1, 531.6, 239.5]",
1,,False,101,3,0.95,1,,Weatherstripping,"W-50S-CA x 38""x84"" Opening",,CA,,,Clear anodized,,3,"[108.7, 242.9, 529.3, 251.3]",
1,,False,101,3,0.95,1,,Weatherstripping,"W-38S-CA x 38""",,CA,,,Clear anodized,,3,"[108.7, 254.7, 529.3, 263.1]",
1,,False,101,3,0.95,1,,Threshold,"CT-45 x 38""",,,,,,,3,"[108.7, 266.4, 286.8, 274.8]",
2,,False,101A,4,0.95,1,,Continuous Hinge,"112XY-83"" C28 EPT @ 42"" Top Down",,C28,,,Clear anodized,,4,"[108.7, 163.0, 533.0, 183.2]",
2,,False,101A,4,0.95,1,,Continuous Hinge,"112XY-83"" C28",,C28,,,Clear anodized,,4,"[108.7, 186.6, 533.0, 195.0]",
2,,False,101A,4,0.95,1,,Accessory,EPT-10-689,,689,,,Aluminum painted,,4,"[108.7, 198.3, 531.6, 206.7]",
2,,False,101A,4,0.95,1,,Electrified Exit Device,RX-MEL-24-R-C 630 718C 626 LHR 4' LENGTH CON 965 x 2147 Door,,626/630,,,,,4,"[108.7, 210.0, 548.0, 218.4]",
2,,False,101A,4,0.95,1,,Exit Device,24-R L 630 RHR 4' LENGTH 965 x 2147 Door,,630,,,Satin stainless steel,,4,"[108.7, 221.8, 531.6, 230.2]",
2,,False,101A,4,0.95,1,,Cylinder,"951 626 1 1/4"" G 6-Pin Open",,626,,,Satin chrome,,4,"[108.7, 233.5, 531.6, 241.9]",
2,,False,101A,4,0.95,1,,Removable Mullion,"KR-4023 689 84 17/32""",,689,,,Aluminum painted,,4,"[108.7, 245.3, 531.6, 253.7]",
2,,False,101A,4,0.95,1,,Cylinder,"985 626 1 1/4"" G 6-Pin Open",,626,,,Satin chrome,,4,"[108.7, 257.1, 531.6, 265.5]",
