set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,,False,117A,397,0.97,3,EA,HINGE,5BB1 4.5 X 4.5 NRP,IVE,652,,Ives,Satin chrome plated steel,False,397,"[80.0, 315.8, 527.3, 326.9]",
01,,False,117A,397,0.97,1,EA,PASSAGE SET,L9010 17A,SCH,626,,Schlage,Satin chrome,False,397,"[80.0, 329.3, 532.3, 340.4]",
01,,False,117A,397,0.97,1,EA,WALL STOP,WS406/407CCV,IVE,626,,Ives,Satin chrome,False,397,"[80.0, 342.8, 527.3, 353.9]",
01,,False,117A,397,0.97,3,EA,SILENCER,SR64,IVE,GRY,,Ives,Gray,False,397,"[80.0, 356.3, 527.3, 367.4]",
01A,,False,134,397,0.97,6,EA,HINGE,5BB1 4.5 X 4.5 NRP,IVE,652,,Ives,Satin chrome plated steel,False,397,"[80.0, 454.8, 527.3, 465.9]",
01A,,False,134,397,0.97,1,EA,CONST LATCHING BOLT,FB51P,IVE,630,,Ives,Satin stainless steel,False,397,"[80.0, 468.4, 527.3, 479.5]",
01A,,False,134,397,0.97,1,EA,DUST PROOF STRIKE,DP2,IVE,626,,Ives,Satin chrome,False,397,"[80.0, 481.8, 527.3, 492.9]",
01A,,False,134,397,0.97,1,EA,PASSAGE SET,L9010 17A,SCH,626,,Schlage,Satin chrome,False,397,"[80.0, 495.4, 532.3, 506.5]",
01A,,False,134,397,0.97,2,EA,OH STOP,100S,GLY,630,,Glynn-Johnson,Satin stainless steel,False,397,"[80.0, 508.8, 531.2, 519.9]",
01A,,False,134,397,0.97,2,EA,SURFACE CLOSER,4040XP,LCN,689,,LCN,Aluminum painted,False,397,"[80.0, 522.4, 531.2, 533.5]",
01A,,False,134,397,0.97,2,EA,KICK PLATE,"8400 8"" X 1"" LDW B-CS",IVE,630,,Ives,Satin stainless steel,False,397,"[80.0, 535.8, 527.3, 546.9]",
01A,,False,134,397,0.97,1,EA,GASKETING,488FSBK PSA,ZER,BK,,Zero International,Black,False,397,"[80.0, 549.4, 531.2, 560.5]",
01A,,False,134,397,0.97,1,EA,WEATHERSTRIPPING,8217SBK PSA,ZER,BK,,Zero International,Black,False,397,"[80.0, 562.8, 531.2, 573.9]",
02,,False,"103, 104, 203, 204",398,0.97,3,EA,HINGE,5BB1 4.5 X 4.5,IVE,652,,Ives,Satin chrome plated steel,False,398,"[80.0, 146.9, 527.3, 158.0]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,CLASSROOM DEAD LOCK W/ OUTSIDE INDICATOR,L463T OS-LOC,SCH,626,,Schlage,Satin chrome,False,398,"[80.0, 160.3, 532.3, 194.5]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,FSIC CORE,23-030 CKC EV29 T,SCH,626,,Schlage,Satin chrome,False,398,"[80.0, 196.8, 532.3, 207.9]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,PUSH PLATE,"8200 4"" X 16""",IVE,630,,Ives,Satin stainless steel,False,398,"[80.0, 210.4, 527.3, 221.5]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,PULL PLATE,"8302 6"" 4"" X 16""",IVE,630,,Ives,Satin stainless steel,False,398,"[80.0, 223.8, 527.3, 234.9]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,SURFACE CLOSER,4040XP,LCN,689,,LCN,Aluminum painted,False,398,"[80.0, 237.4, 531.2, 248.5]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,MOP PLATE,"8400 4"" X 1"" LDW B-CS",IVE,630,,Ives,Satin stainless steel,False,398,"[80.0, 250.8, 527.3, 261.9]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,KICK PLATE,"8400 8"" X 2"" LDW B-CS",IVE,630,,Ives,Satin stainless steel,False,398,"[80.0, 264.4, 527.3, 275.5]",
02,,False,"103, 104, 203, 204",398,0.97,1,EA,WALL STOP,WS406/407CCV,IVE,626,,Ives,Satin chrome,False,398,"[80.0, 277.8, 527.3, 288.9]",
02,,False,"103, 104, 203, 204",398,0.97,3,EA,SILENCER,SR65,IVE,GRY,,Ives,Gray,False,398,"[80.0, 291.4, 527.3, 302.5]",
03,,False,"120, 157",398,0.97,1,EA,CONT. HINGE,112XY,IVE,628,,Ives,"Satin aluminum, clear anodized",False,398,"[80.0, 389.8, 527.3, 400.9]",
03,,False,"120, 157",398,0.97,1,EA,CONT. HINGE,112XY EPT,IVE,628,,Ives,"Satin aluminum, clear anodized",False,398,"[80.0, 403.3, 527.3, 414.4]",
03,,False,"120, 157",398,0.97,2,EA,POWER TRANSFER,EPT10 CON,VON,689,,Von Duprin,Aluminum painted,True,398,"[80.0, 416.5, 532.9, 427.9]",
03,,False,"120, 157",398,0.97,1,EA,CONST LATCHING BOLT,FB51P,IVE,630,,Ives,Satin stainless steel,False,398,"[80.0, 430.3, 527.3, 441.4]",
03,,False,"120, 157",398,0.97,1,EA,DUST PROOF STRIKE,DP2,IVE,626,,Ives,Satin chrome,False,398,"[80.0, 443.8, 527.3, 454.9]",
03,,False,"120, 157",398,0.97,1,EA,ELEC OFFICE LOCK,AD-300-MS-50-MT-SPA-J (BY DIV. 28),SCE,626,,Schlage Electronics,Satin chrome,True,398,"[80.0, 456.9, 531.8, 479.9]",
03,,False,"120, 157",398,0.97,1,EA,FSIC CORE,23-030 CKC EV29 T,SCH,626,,Schlage,Satin chrome,False,398,"[80.0, 482.3, 532.3, 493.4]",
03,,False,"120, 157",398,0.97,1,EA,FSIC CORE,23-030 ICX,SCH,ORG,,Schlage,Orange,False,398,"[80.0, 495.8, 532.2, 506.9]",
03,,False,"120, 157",398,0.97,2,EA,SURFACE CLOSER,4040XP EDA,LCN,689,,LCN,Aluminum painted,False,398,"[80.0, 509.3, 531.2, 520.4]",
