set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
001,,False,,"20, 21",0.93,2,EA,PIVOT SET,7226 SET,IVE,626,,Ives,Satin chrome,False,20,"[80.1, 525.1, 528.0, 536.2]",
001,,False,,"20, 21",0.93,4,EA,INTERMEDIATE PIVOT,7226 INT,IVE,626,,Ives,Satin chrome,False,20,"[80.1, 538.6, 528.0, 549.7]",
001,,False,,"20, 21",0.93,2,EA,POWER TRANSFER,EPT10 CON,VON,689,,Von Duprin,Aluminum painted,True,20,"[80.1, 552.1, 533.6, 563.2]",
001,,False,,"20, 21",0.93,1,EA,ELEC PANIC HARDWARE,LXRX-LC-QEL-9849-EO W/CYL HOLE-CON-SNB 24 VDC,VON,630,,Von Duprin,Satin stainless steel,True,20,"[80.1, 565.6, 533.6, 588.1]",
001,,False,,"20, 21",0.93,1,EA,ELEC PANIC HARDWARE,LXRX-LC-QEL-9849-EO-CON- SNB 24 VDC,VON,630,,Von Duprin,Satin stainless steel,True,20,"[80.1, 590.6, 533.6, 613.2]",
001,,False,,"20, 21",0.93,1,EA,RIM CYLINDER,IE72-PATD - AS REQUIRED - PROVIDE BRASS CONSTRUCTION CORE,BES,626,,Best,Satin chrome,False,20,"[80.1, 615.6, 532.0, 649.7]",
001,,False,,"20, 21",0.93,1,EA,PERMANENT CORE - COMBINATED,1C72,BES,626,,Best,Satin chrome,False,20,"[80.1, 652.0, 532.0, 674.7]",
001,,False,,"20, 21",0.93,2,EA,LONG DOOR PULL,"9264F 72"" O",IVE,630-316,,Ives,,False,20,"[80.1, 677.1, 528.0, 699.6]",
001,,False,,"20, 21",0.93,2,EA,OH STOP,100SE,GLY,630,,Glynn-Johnson,Satin stainless steel,False,20,"[80.1, 702.1, 531.3, 713.2]",
001,,False,,"20, 21",0.93,,EA,AUTOMATIC OPERATOR,BY RELATED SECTION 08 71 13,B/O,,,By Others,,True,21,"[112.0, 58.1, 529.1, 80.6]",
001,,False,,"20, 21",0.93,,EA,WAVE ACTUATOR,BY RELATED SECTION 08 71 13,B/O,,,By Others,,True,21,"[112.0, 83.0, 529.1, 105.7]",
001,,False,,"20, 21",0.93,1,EA,RAIN DRIP,142AA - AS REQUIRED,ZER,AA,,Zero International,Anodized aluminum,False,21,"[80.1, 108.0, 531.9, 119.1]",
001,,False,,"20, 21",0.93,,,SEALS,BY DOOR / FRAME MANUFACTURER,,,,,,False,21,"[141.9, 121.6, 359.7, 144.2]",
001,,False,,"20, 21",0.93,2,EA,DOOR SWEEP,39A,ZER,A,,Zero International,Anodized aluminum,False,21,"[80.1, 146.5, 531.9, 157.6]",
001,,False,,"20, 21",0.93,1,EA,THRESHOLD,657A-E-V3-NH-226,ZER,A,,Zero International,Anodized aluminum,False,21,"[80.1, 160.1, 531.9, 171.2]",
