set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
EX-1.0,Balanced Door Assembly Opening,False,,24,0.8,,,Hanging Device,By Balanced Door Manufacturer,,,,,,,24,"[82.8, 403.1, 404.5, 414.2]",catalog_number
EX-1.0,Balanced Door Assembly Opening,False,,24,0.8,,,Panic Hardware Device (Blumcraft Style),By Balanced Door Manufacturer,,,,,,,24,"[82.8, 417.7, 404.5, 440.3]",catalog_number
EX-1.0,Balanced Door Assembly Opening,False,,24,0.8,,,"Gasketing, threshold, sweep, astragal",By Balanced Door Manufacturer,,,,,,,24,"[82.8, 443.7, 404.5, 454.8]",catalog_number
EX-1.0,Balanced Door Assembly Opening,False,,24,0.8,1,,Electric Strike,By Balanced Door Manufacturer,,,,,,,24,"[74.3, 458.2, 404.5, 469.3]",
EX-2.0,Terrace Door Assembly,False,,"24, 25",0.77,,,Hanging Device,By Door Manufacturer,,,,,,,24,"[82.8, 691.2, 360.0, 702.3]",catalog_number
EX-2.0,Terrace Door Assembly,False,,"24, 25",0.77,,,Panic Hardware Device,By Door Manufacturer,,,,,,,24,"[82.8, 705.7, 360.0, 716.8]",catalog_number
EX-2.0,Terrace Door Assembly,False,,"24, 25",0.77,,,"Gasketing, threshold, sweep, astragal",By Door Manufacturer,,,,,,,25,"[82.8, 96.5, 360.0, 107.6]",catalog_number
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Continuous Hinge,FMHD1,Pemko,,,,,,26,"[74.3, 153.4, 469.3, 164.5]",
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Storeroom Lock,8204 LNL,Sargent,,,,,,26,"[74.3, 167.9, 473.2, 179.0]",
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Surface Closer,UNI-7500,Norton,,,,,,26,"[74.3, 182.4, 468.2, 193.5]",
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Perimeter Gasket,290 x 2891APK,Pemko,,,,,,26,"[74.3, 196.9, 469.3, 208.0]",
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Gasketing,S88BL,Pemko,,,,,,26,"[74.3, 211.3, 469.3, 222.4]",
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Door Shoe,234AV,Pemko,,,,,,26,"[74.3, 225.8, 469.3, 237.0]",
EX-3.0,Single Opening – Exterior Stair Fan,False,,26,0.96,1,,Threshold,2005AT,Pemko,,,,,,26,"[74.3, 240.4, 469.3, 251.5]",
EX-4.0,Paired Opening – Exterior Access Controlled,False,,"27, 28",0.95,1,,Continuous Hinge x Power Transfer,FMHD1 QC,Pemko,,,,,,27,"[74.3, 167.9, 469.3, 179.0]",
EX-4.0,Paired Opening – Exterior Access Controlled,False,,"27, 28",0.95,1,,Continuous Hinge,FMHD1,Pemko,,,,,,27,"[74.3, 182.4, 469.3, 193.5]",
EX-4.0,Paired Opening – Exterior Access Controlled,False,,"27, 28",0.95,1,,Constant Latching Flush Bolt,2845/ 2945(as required),Rockwood,,,,,,27,"[74.3, 196.9, 484.9, 208.0]",
