set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
1.0,Unit Entry Door (WDL),False,,643,0.92,3,,"Hinge, Full Mortise",TA2714,MK,US15,,McKinney,Satin nickel,,643,"[74.3, 493.0, 508.6, 505.3]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Access Control Cyl Lock,70 IN100-10XG77-BIPS B LMW,SA,US15,,Sargent,Satin nickel,,643,"[74.3, 509.7, 504.9, 521.9]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Small Format Inter Core,7300B CKC GMK,SA,US15,,Sargent,Satin nickel,,643,"[74.3, 526.4, 504.9, 538.6]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Surface Closer Cush Stop,CA1601 P,NO,689,,Norton,Aluminum painted,,643,"[74.3, 542.0, 506.7, 554.2]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Wall Stop,430-RKW,RO,US15,,Rockwood,Satin nickel,,643,"[74.3, 557.6, 506.1, 569.8]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Viewer,626,RO,DCRM,,Rockwood,,,643,"[74.3, 573.3, 506.1, 585.6]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Sound Gasketing,S773BL,PE,,,Pemko,,,643,"[74.3, 588.9, 503.6, 601.2]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Door Bottom,2113AV,PE,,,Pemko,,,643,"[74.3, 604.7, 503.6, 616.9]",
1.0,Unit Entry Door (WDL),False,,643,0.92,1,,Threshold,Per Detail / Type as Req,PE,,,Pemko,,,643,"[74.3, 620.3, 503.6, 632.5]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,4,,"Hinge, Full Mortise, Hvy Wt",T4A3786,MK,US15,,McKinney,Satin nickel,,644,"[74.3, 98.3, 508.6, 110.5]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Access Control Cyl Lock,70 IN100-10XG77-BIPS B LMW,SA,US15,,Sargent,Satin nickel,,644,"[74.3, 115.0, 504.9, 127.2]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Small Format Inter Core,7300B CKC GMK,SA,US15,,Sargent,Satin nickel,,644,"[74.3, 131.7, 504.9, 143.9]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Surface Closer Cush Stop,CA1601 P,NO,689,,Norton,Aluminum painted,,644,"[74.3, 147.3, 506.7, 159.5]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Viewer,626,RO,DCRM,,Rockwood,,,644,"[74.3, 162.9, 506.1, 175.1]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Sound Gasketing,S773BL,PE,,,Pemko,,,644,"[74.3, 178.6, 503.6, 190.8]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Door Bottom,2113AV,PE,,,Pemko,,,644,"[74.3, 194.2, 503.6, 206.4]",
2.0,Unit Entry Fire Glazed Storefront Door (WDL),False,,644,0.92,1,,Threshold,Per Detail / Type as Req,PE,,,Pemko,,,644,"[74.3, 209.9, 503.6, 222.1]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Pivot Set,195,RF,622,,Rixson,Flat black,,644,"[74.3, 357.4, 504.2, 369.6]",
3.0,Villa Custom Door (WDL),False,,644,0.93,2,,Intermediate Pivot,M19,RF,622,,Rixson,Flat black,,644,"[74.3, 373.0, 504.2, 385.2]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Access Control Mort Lock,IN100-82277-BIPS LNMW LC,SA,BSP,,Sargent,Black suede powder coat,,644,"[74.3, 389.7, 504.9, 401.9]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Mortise Cylinder,72 43 verify cam,SA,BSP,,Sargent,Black suede powder coat,,644,"[74.3, 406.3, 504.9, 418.5]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Small Format Inter Core,7300B CKC GMK,SA,US4,,Sargent,Satin brass,,644,"[74.3, 422.0, 504.9, 434.2]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Door Stop,RM850,RO,BSP,,Rockwood,Black suede powder coat,,644,"[74.3, 437.6, 506.1, 449.8]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Sweep,18062BSPNB,PE,,,Pemko,,,644,"[74.3, 453.3, 503.6, 465.5]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Threshold,Per Detail / Type as Req,PE,,,Pemko,,,644,"[74.3, 468.9, 503.6, 481.1]",
3.0,Villa Custom Door (WDL),False,,644,0.93,1,,Viewer,627,RO,BLK,,Rockwood,Black,,644,"[74.3, 484.5, 506.1, 496.7]",
4.0,Unit Garage Door U1F,False,,"644, 645",0.92,4,,"Hinge, Full Mortise",TA2714,MK,US15,,McKinney,Satin nickel,,644,"[74.3, 632.1, 508.6, 644.4]",
4.0,Unit Garage Door U1F,False,,"644, 645",0.92,1,,Turn Bolt,V04 468,SA,US26D,,Sargent,Satin chrome,,644,"[74.3, 647.7, 504.9, 660.0]",
