set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,,False,"222A-1, 223, 224, 323, 324, 325, 326, 327, 330, 334, 337B, 144A-1",285,0.97,1,EA,SURFACE CLOSER,4040XP SCUSH,LCN,691,,LCN,Dull bronze painted,False,285,"[76.0, 228.1, 534.9, 238.1]",
02,,False,,285,0.97,1,EA,SURFACE CLOSER,4041 DEL EDA,LCN,691,,LCN,Dull bronze painted,False,285,"[76.0, 344.8, 534.9, 354.7]",
02,,False,,285,0.97,1,EA,WALL STOP,WS401/402CCV,IVE,612,,Ives,Satin bronze,False,285,"[76.0, 359.1, 529.4, 369.0]",
03,,False,"44K, 114",285,0.97,1,EA,SURFACE CLOSER,4040XP EDA,LCN,691,,LCN,Dull bronze painted,False,285,"[76.0, 475.7, 534.9, 485.6]",
03,,False,"44K, 114",285,0.97,1,EA,WALL STOP,WS401/402CCV,IVE,612,,Ives,Satin bronze,False,285,"[76.0, 489.9, 529.4, 499.8]",
04,,False,026A,285,0.97,1,EA,SURFACE CLOSER,4040XP REG,LCN,691,,LCN,Dull bronze painted,False,285,"[76.0, 606.5, 534.9, 616.4]",
05,,True,,285,0.9,,,,,,,,,,,,,
06,,False,"230, 220A-1",286,0.96,1,EA,CLASSROOM SECURITY W/ INSIDE INDICATOR,ND78BD TLR IS-CRS,SCH,612,,Schlage,Satin bronze,False,286,"[76.0, 152.7, 534.7, 174.8]",
06,,False,"230, 220A-1",286,0.96,2,EA,SFIC CORE,C607,FAL,606,,Falcon,Satin brass,False,286,"[76.0, 179.2, 531.6, 189.1]",
06,,False,"230, 220A-1",286,0.96,1,EA,SURFACE CLOSER,4040XP SCUSH,LCN,691,,LCN,Dull bronze painted,False,286,"[76.0, 193.3, 534.9, 203.3]",
07,,False,140A-1,286,0.97,1,EA,CONT. HINGE,224XY,IVE,711,,Ives,Black anodized,False,286,"[76.0, 310.0, 529.4, 319.9]",
07,,False,140A-1,286,0.97,1,EA,FIRE EXIT HARDWARE,99-L-F-2SI-03,VON,612,,Von Duprin,Satin bronze,False,286,"[76.0, 324.3, 537.9, 334.2]",
07,,False,140A-1,286,0.97,2,EA,SFIC RIM HOUSING,80-129,SCH,612,,Schlage,Satin bronze,False,286,"[76.0, 338.5, 534.7, 348.5]",
07,,False,140A-1,286,0.97,2,EA,SFIC CORE,C607,FAL,606,,Falcon,Satin brass,False,286,"[76.0, 352.8, 531.6, 362.8]",
07,,False,140A-1,286,0.97,1,EA,SURFACE CLOSER,4041 DEL SCUSH,LCN,691,,LCN,Dull bronze painted,False,286,"[76.0, 367.0, 534.9, 376.9]",
07,,False,140A-1,286,0.97,1,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,612,,Ives,Satin bronze,False,286,"[76.0, 381.3, 529.4, 391.2]",
07,,False,140A-1,286,0.97,1,EA,GASKETING SET,188SBK PSA,ZER,BK,,Zero International,Black,False,286,"[76.0, 395.5, 531.0, 405.5]",
08,,False,"140-1, 140-2",286,0.97,2,EA,CONT. HINGE,224XY,IVE,711,,Ives,Black anodized,False,286,"[76.0, 512.2, 529.4, 522.1]",
08,,False,"140-1, 140-2",286,0.97,1,EA,FIRE EXIT HARDWARE,9947WDC-L-F-2SI-LBR-03-SNB,VON,612,,Von Duprin,Satin bronze,False,286,"[76.0, 526.5, 537.9, 536.4]",
08,,False,"140-1, 140-2",286,0.97,1,EA,FIRE EXIT HARDWARE,9947WDC-L-F-2SI-LBRAFL-03-SNB,VON,612,,Von Duprin,Satin bronze,False,286,"[76.0, 540.7, 537.9, 550.7]",
08,,False,"140-1, 140-2",286,0.97,4,EA,SFIC RIM HOUSING,80-129,SCH,612,,Schlage,Satin bronze,False,286,"[76.0, 554.9, 534.7, 564.8]",
08,,False,"140-1, 140-2",286,0.97,4,EA,SFIC CORE,C607,FAL,606,,Falcon,Satin brass,False,286,"[76.0, 569.2, 531.6, 579.1]",
08,,False,"140-1, 140-2",286,0.97,2,EA,SURFACE CLOSER,4040XP SCUSH,LCN,691,,LCN,Dull bronze painted,False,286,"[76.0, 583.5, 534.9, 593.4]",
08,,False,"140-1, 140-2",286,0.97,2,EA,KICK PLATE,"8400 10"" X 1"" LDW B-CS",IVE,612,,Ives,Satin bronze,False,286,"[76.0, 597.7, 529.4, 607.7]",
08,,False,"140-1, 140-2",286,0.97,1,EA,GASKETING SET,188SBK PSA,ZER,BK,,Zero International,Black,False,286,"[76.0, 612.0, 531.0, 622.0]",
09,,False,"144-1, 144-2",287,0.97,2,EA,CONT. HINGE,224XY,IVE,711,,Ives,Black anodized,False,287,"[76.0, 152.7, 529.4, 162.6]",
09,,False,"144-1, 144-2",287,0.97,1,EA,REMOVABLE MULLION,KR4954 STAB,VON,695,,Von Duprin,Dark bronze painted,False,287,"[76.0, 166.8, 537.9, 176.8]",
09,,False,"144-1, 144-2",287,0.97,1,EA,FIRE EXIT HARDWARE,99-EO-F,VON,612,,Von Duprin,Satin bronze,False,287,"[76.0, 181.1, 537.9, 191.0]",
09,,False,"144-1, 144-2",287,0.97,1,EA,FIRE EXIT HARDWARE,99-L-F-2SI-03,VON,612,,Von Duprin,Satin bronze,False,287,"[76.0, 195.4, 537.9, 205.3]",
09,,False,"144-1, 144-2",287,0.97,2,EA,SFIC RIM HOUSING,80-129,SCH,612,,Schlage,Satin bronze,False,287,"[76.0, 209.7, 534.7, 219.6]",
09,,False,"144-1, 144-2",287,0.97,2,EA,SFIC CORE,C607,FAL,606,,Falcon,Satin brass,False,287,"[76.0, 223.9, 531.6, 233.9]",
09,,False,"144-1, 144-2",287,0.97,2,EA,SURFACE CLOSER,4040XP SCUSH,LCN,691,,LCN,Dull bronze painted,False,287,"[76.0, 238.2, 534.9, 248.2]",
09,,False,"144-1, 144-2",287,0.97,2,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,612,,Ives,Satin bronze,False,287,"[76.0, 252.4, 529.4, 262.3]",
