set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,2,EA,CONT. HINGE,112XY EPT,IVE,628,,Ives,"Satin aluminum, clear anodized",False,770,"[80.0, 242.1, 527.4, 253.2]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,2,EA,POWER TRANSFER,EPT10 CON,VON,689,,Von Duprin,Aluminum painted,True,770,"[80.0, 255.2, 533.0, 266.7]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,1,EA,ELEC PANIC HARDWARE,RX-MEL-AX-25-C-C-718-CON 24 VDC,FAL,626,,Falcon,Satin chrome,True,770,"[80.0, 268.7, 529.6, 291.7]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,1,EA,ELEC PANIC HARDWARE,RX-MEL-AX-25-C-EO-CON 24 VDC,FAL,626,,Falcon,Satin chrome,True,770,"[80.0, 293.7, 529.6, 316.7]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,1,EA,INTERFACE BOX,*JB7,VON,,,Von Duprin,,True,770,"[80.0, 319.1, 533.0, 330.2]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,1,EA,MORTISE CYLINDER,986 009897-024,FAL,626,,Falcon,Satin chrome,False,770,"[80.0, 332.6, 529.6, 343.7]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,1,EA,CYLINDER CAM,B520-295,SCH,,,Schlage,,False,770,"[80.0, 346.1, 532.4, 357.2]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,2,EA,90 DEG OFFSET PULL,"8190EZHD 12"" STD",IVE,630-316,,Ives,,False,770,"[80.0, 359.6, 527.4, 382.2]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,2,EA,SURFACE CLOSER,"SC71A SS PROVIDE MTG BRKT, SPCR & PLATE AS REQ'D",FAL,689,,Falcon,Aluminum painted,False,770,"[80.0, 384.6, 529.6, 418.7]",
01,"A/G EXT PR CR NL-OP-PANIC (DOUBLE EXTERIOR DOORS, EGRESS & CARD READER, ZENTRA PLATFORM)",False,G-03,770,0.95,1,,SEALS,BY DOOR MANUFACTURER,B/O,,,By Others,,False,770,"[80.0, 421.1, 528.5, 432.2]",
