set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
101,,False,101,233,0.92,2,,Continuous Hinge,K10BEFM95HD1,PE,,,Pemko,,,233,"[93.9, 169.9, 514.4, 181.0]",
101,,False,101,233,0.92,1,,Deadlock,MS1850S Door Height Straight Bolt,AD,313,Door Height=96,Adams Rite,Dark bronze anodized,,233,"[93.9, 183.4, 516.4, 207.9]",
101,,False,101,233,0.92,1,,Thumbturn Cylinder,4066-01,AD,313,,Adams Rite,Dark bronze anodized,,233,"[93.9, 210.3, 516.4, 221.3]",
101,,False,101,233,0.92,1,,Mortise Cylinder,70 7P 43 13-0512,SA,10BE,SFIC Cylinder housing with disposable core,Sargent,Oil-rubbed bronze,,233,"[93.9, 223.7, 514.7, 248.2]",
101,,False,101,233,0.92,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,233,"[93.9, 250.6, 514.6, 275.0]",
101,,False,101,233,0.92,2,,Pull,"RM3301 35"" 2"" Doors CTC OVERALL LENGTH",RO,10BE,"Push bar dimensions shall be coordinated with Aluminum Door provider & approved by the deisgn team during submittal phase CTC = =33, Overall Length=35",Rockwood,Oil-rubbed bronze,,233,"[93.9, 277.4, 529.2, 342.2]",
101,,False,101,233,0.92,2,,Pull,"RM3310 30"" 2"" Doors CTC OVERALL LENGTH",RO,10BE,Verify door thickness,Rockwood,Oil-rubbed bronze,,233,"[93.9, 344.6, 516.6, 382.5]",
101,,False,101,233,0.92,1,,Closer,SRI 268 OB,SA,10BE,RH,Sargent,Oil-rubbed bronze,,233,"[93.9, 398.2, 514.7, 409.3]",
101,,False,101,233,0.92,1,,Closer,SRI 268 OB,SA,10BE,LH,Sargent,Oil-rubbed bronze,,233,"[93.9, 411.7, 514.7, 422.7]",
101,,False,101,233,0.92,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,233,"[93.9, 425.1, 530.5, 463.0]",
101,,False,101,233,0.92,1,,Threshold,"2008-10BE-PK 72"" MSES25SS",PE,,,Pemko,,,233,"[93.9, 465.4, 514.4, 476.5]",
102,,False,102,234,0.92,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,234,"[93.9, 185.3, 518.6, 196.3]",
102,,False,102,234,0.92,1,,Exit Device,LC PE8806 F WEMD,SA,10BE,LHR,Sargent,Oil-rubbed bronze,,234,"[93.9, 198.7, 514.7, 209.8]",
102,,False,102,234,0.92,1,,Rim Cylinder,70 7P 34,SA,10BE,SFIC Cylinder housing with disposable core,Sargent,Oil-rubbed bronze,,234,"[93.9, 212.2, 514.7, 236.7]",
102,,False,102,234,0.92,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,234,"[93.9, 239.1, 514.6, 263.6]",
102,,False,102,234,0.92,1,,Electric Strike,9600-LBM 2004M,HS,613E,,,,,234,"[93.9, 266.0, 515.2, 277.0]",
102,,False,102,234,0.92,1,,Closer,351 CPS TB,SA,10BE,,Sargent,Oil-rubbed bronze,,234,"[93.9, 279.3, 514.7, 290.3]",
102,,False,102,234,0.92,1,,Wiring Harness,QC-C1500,MC,,,,,,234,"[93.9, 292.7, 518.6, 303.8]",
102,,False,102,234,0.92,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,234,"[93.9, 306.2, 530.5, 344.1]",
102,,False,102,234,0.92,1,,Power Supply,LSP-12-24,SA,,,Sargent,,,234,"[93.9, 346.5, 514.7, 357.5]",
102,,False,102,234,0.92,1,,Smoke Seal,S88 BL 21',PE,,,Pemko,,,234,"[93.9, 360.0, 514.4, 371.0]",
103,,False,103,235,0.94,2,,Continuous Hinge,K10BEFM95HD1,PE,,,Pemko,,,235,"[93.9, 171.9, 514.4, 182.9]",
103,,False,103,235,0.94,1,,Deadlock,MS1850S Door Height Straight Bolt,AD,313,Door Height=96,Adams Rite,Dark bronze anodized,,235,"[93.9, 185.3, 516.4, 209.8]",
103,,False,103,235,0.94,1,,Thumbturn Cylinder,4066-01,AD,313,,Adams Rite,Dark bronze anodized,,235,"[93.9, 212.2, 516.4, 223.2]",
103,,False,103,235,0.94,1,,Mortise Cylinder,70 7P 43 13-0512,SA,10BE,SFIC Cylinder housing with disposable core,Sargent,Oil-rubbed bronze,,235,"[93.9, 225.6, 514.7, 250.1]",
103,,False,103,235,0.94,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,235,"[93.9, 252.5, 514.6, 277.0]",
103,,False,103,235,0.94,2,,Pull,"RM3301 35"" 2"" Doors CTC OVERALL LENGTH",RO,10BE,"Push bar dimensions shall be coordinated with Aluminum Door provider & approved by the design team during submittal phase CTC = =33, Overall Length=35",Rockwood,Oil-rubbed bronze,,235,"[93.9, 279.3, 529.2, 344.1]",
103,,False,103,235,0.94,2,,Pull,"RM3310 30"" 2"" Doors CTC OVERALL LENGTH",RO,10BE,Verify door thickness,Rockwood,Oil-rubbed bronze,,235,"[93.9, 346.5, 516.6, 384.4]",
103,,False,103,235,0.94,1,,Closer,SRI 268 OB,SA,10BE,RH,Sargent,Oil-rubbed bronze,,235,"[93.9, 400.1, 514.7, 411.2]",
103,,False,103,235,0.94,1,,Closer,SRI 268 OB,SA,10BE,LH,Sargent,Oil-rubbed bronze,,235,"[93.9, 413.6, 514.7, 424.6]",
103,,False,103,235,0.94,2,,Dome Stop,441,RO,10BE,,Rockwood,Oil-rubbed bronze,,235,"[93.9, 427.0, 516.6, 438.1]",
103,,False,103,235,0.94,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,235,"[93.9, 440.5, 530.5, 478.4]",
104,,False,104,236,0.94,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,236,"[93.9, 185.3, 518.6, 196.3]",
104,,False,104,236,0.94,1,,Lockset,"70 10XG05 LL 2 3/4"" BS",SA,10BE,,Sargent,Oil-rubbed bronze,,236,"[93.9, 198.7, 514.7, 209.8]",
104,,False,104,236,0.94,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,236,"[93.9, 212.2, 514.6, 236.7]",
104,,False,104,236,0.94,1,,Wall Stop,409,RO,10BE,,Rockwood,Oil-rubbed bronze,,236,"[93.9, 239.1, 516.6, 250.1]",
104,,False,104,236,0.94,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,236,"[93.9, 252.5, 530.5, 290.3]",
104,,False,104,236,0.94,3,,Door Silencer,608-RKW,RO,BLK,,Rockwood,Black,,236,"[93.9, 292.7, 516.6, 303.8]",
105,,False,105,237,0.94,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,237,"[93.9, 185.3, 518.6, 196.3]",
105,,False,105,237,0.94,1,,Lockset,"70 10XG05 LL 2 3/4"" BS",SA,10BE,,Sargent,Oil-rubbed bronze,,237,"[93.9, 198.7, 514.7, 209.8]",
105,,False,105,237,0.94,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,237,"[93.9, 212.2, 514.6, 236.7]",
105,,False,105,237,0.94,1,,Wall Stop,409,RO,10BE,,Rockwood,Oil-rubbed bronze,,237,"[93.9, 239.1, 516.6, 250.1]",
105,,False,105,237,0.94,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,237,"[93.9, 252.5, 530.5, 290.3]",
105,,False,105,237,0.94,3,,Door Silencer,608-RKW,RO,BLK,,Rockwood,Black,,237,"[93.9, 292.7, 516.6, 303.8]",
106,,False,106,238,0.92,1,,Continuous Hinge,K10BEFM95HD1,PE,,,Pemko,,,238,"[93.9, 171.9, 514.4, 182.9]",
106,,False,106,238,0.92,1,,Exit Device,31 PE8804 F LESS TRIM,SA,10BE,"LHR Verify door thickness for code ""31"" Notes=TBD",Sargent,Oil-rubbed bronze,,238,"[93.9, 185.3, 514.7, 223.2]",
106,,False,106,238,0.92,1,,Rim Cylinder,70 7P 34,SA,10BE,SFIC Cylinder housing with disposable core,Sargent,Oil-rubbed bronze,,238,"[93.9, 225.6, 514.7, 250.1]",
106,,False,106,238,0.92,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,238,"[93.9, 252.5, 514.6, 277.0]",
106,,False,106,238,0.92,1,,Electric Strike,9600-LBM 2004M,HS,613E,,,,,238,"[93.9, 279.3, 515.2, 290.3]",
106,,False,106,238,0.92,1,,Pull,"RM3310 30"" 2"" Doors CTC OVERALL LENGTH",RO,10BE,Verify door thickness,Rockwood,Oil-rubbed bronze,,238,"[93.9, 292.7, 516.6, 330.7]",
106,,False,106,238,0.92,1,,Closer,SRI 268 OB,SA,10BE,RH,Sargent,Oil-rubbed bronze,,238,"[93.9, 346.5, 514.7, 357.5]",
106,,False,106,238,0.92,1,,Dome Stop,441,RO,10BE,,Rockwood,Oil-rubbed bronze,,238,"[93.9, 360.0, 516.6, 371.0]",
106,,False,106,238,0.92,1,,Wiring Harness,QC-C1500,MC,,,,,,238,"[93.9, 373.4, 518.6, 384.4]",
106,,False,106,238,0.92,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,238,"[93.9, 386.8, 530.5, 424.6]",
106,,False,106,238,0.92,1,,Power Supply,LSP-12-24,SA,,,Sargent,,,238,"[93.9, 427.0, 514.7, 438.1]",
106,,False,106,238,0.92,1,,Threshold,"2008-10BE-PK 36"" MSES25SS",PE,,,Pemko,,,238,"[93.9, 440.5, 514.4, 451.5]",
107,,False,107,239,0.94,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,239,"[93.9, 185.3, 518.6, 196.3]",
107,,False,107,239,0.94,1,,Lockset,"70 10XG05 LL 2 3/4"" BS",SA,10BE,,Sargent,Oil-rubbed bronze,,239,"[93.9, 198.7, 514.7, 209.8]",
107,,False,107,239,0.94,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,239,"[93.9, 212.2, 514.6, 236.7]",
107,,False,107,239,0.94,1,,Wall Stop,409,RO,10BE,,Rockwood,Oil-rubbed bronze,,239,"[93.9, 239.1, 516.6, 250.1]",
107,,False,107,239,0.94,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,239,"[93.9, 252.5, 530.5, 290.3]",
107,,False,107,239,0.94,3,,Door Silencer,608-RKW,RO,BLK,,Rockwood,Black,,239,"[93.9, 292.7, 516.6, 303.8]",
108,,False,108,240,0.94,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,240,"[93.9, 185.3, 518.6, 196.3]",
108,,False,108,240,0.94,1,,Lockset,"70 10XG05 LL 2 3/4"" BS",SA,10BE,,Sargent,Oil-rubbed bronze,,240,"[93.9, 198.7, 514.7, 209.8]",
108,,False,108,240,0.94,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,240,"[93.9, 212.2, 514.6, 236.7]",
108,,False,108,240,0.94,1,,Wall Stop,409,RO,10BE,,Rockwood,Oil-rubbed bronze,,240,"[93.9, 239.1, 516.6, 250.1]",
108,,False,108,240,0.94,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,240,"[93.9, 252.5, 530.5, 290.3]",
108,,False,108,240,0.94,3,,Door Silencer,608-RKW,RO,BLK,,Rockwood,Black,,240,"[93.9, 292.7, 516.6, 303.8]",
109,,False,109,241,0.94,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,241,"[93.9, 185.3, 518.6, 196.3]",
109,,False,109,241,0.94,1,,Lockset,"70 10XG05 LL 2 3/4"" BS",SA,10BE,,Sargent,Oil-rubbed bronze,,241,"[93.9, 198.7, 514.7, 209.8]",
109,,False,109,241,0.94,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,241,"[93.9, 212.2, 514.6, 236.7]",
109,,False,109,241,0.94,1,,Wall Stop,409,RO,10BE,,Rockwood,Oil-rubbed bronze,,241,"[93.9, 239.1, 516.6, 250.1]",
109,,False,109,241,0.94,1,,SFIC,33700006 N 26 DAKM,MED1,,Product shall be US10B (or 10BE if available) finish per catalog selections - End user needs to confirm master key system & keyway prior procurement,Medeco,,,241,"[93.9, 252.5, 530.5, 290.3]",
109,,False,109,241,0.94,3,,Door Silencer,608-RKW,RO,BLK,,Rockwood,Black,,241,"[93.9, 292.7, 516.6, 303.8]",
111,,False,111,242,0.92,4,,Hinges,MPB79 4 1/2 x 4 1/2 NRP,MC,10BE,,,Oil-rubbed bronze,,242,"[93.9, 185.3, 518.6, 196.3]",
111,,False,111,242,0.92,1,,Lockset,"70 10XG37 LL 2 3/4"" BS",SA,10BE,,Sargent,Oil-rubbed bronze,,242,"[93.9, 198.7, 514.7, 209.8]",
111,,False,111,242,0.92,1,,Construction Core,7190224,BE,,SFIC Construction core,Best,,,242,"[93.9, 212.2, 514.6, 236.7]",
111,,False,111,242,0.92,1,,Electric Strike,5000C-LBM 2004M,HS,630,,,Satin stainless steel,,242,"[93.9, 239.1, 515.2, 250.1]",
111,,False,111,242,0.92,1,,Closer,1131 HU,SA,EB,,Sargent,,,242,"[93.9, 252.5, 514.7, 263.6]",
111,,False,111,242,0.92,1,,Wall Stop,409,RO,10BE,,Rockwood,Oil-rubbed bronze,,242,"[93.9, 266.0, 516.6, 277.0]",
