set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,,False,1,406,0.97,4,EA,HINGE,5BB1 4.5 X 4.5 NRP,IVE,630,,H.B. Ives,Satin stainless steel,False,406,"[79.9, 436.9, 527.7, 448.2]",
01,,False,1,406,0.97,1,EA,POWER TRANSFER,EPT10 CON,VON,689,,Von Duprin,Aluminum painted,False,406,"[79.9, 450.4, 533.3, 461.6]",
01,,False,1,406,0.97,1,EA,EXIT DEVICE,EX76 CVR Electric Trim,ADA,626,,Adams Rite Manufacturing Co,Satin chrome,False,406,"[79.9, 463.8, 532.1, 475.1]",
01,,False,1,406,0.97,1,EA,RIM CYLINDER,20-057 ICX,SCH,626,,Schlage Lock Company,Satin chrome,False,406,"[79.9, 477.3, 532.6, 488.5]",
01,,False,1,406,0.97,1,EA,90 DEG OFFSET PULL,"8190EZHD 10"" O",IVE,630-316,,H.B. Ives,,False,406,"[79.9, 490.9, 527.7, 513.5]",
01,,False,1,406,0.97,1,EA,SURFACE CLOSER,4040XP SCUSH,LCN,689,,LCN Commercial Division,Aluminum painted,False,406,"[79.9, 515.9, 531.4, 527.2]",
01,,False,1,406,0.97,1,EA,CUSH SHOE SUPPORT,4040XP-30,LCN,689,,LCN Commercial Division,Aluminum painted,False,406,"[79.9, 529.4, 531.4, 540.6]",
01,,False,1,406,0.97,1,EA,BLADE STOP SPACER,4040XP-61,LCN,689,,LCN Commercial Division,Aluminum painted,False,406,"[79.9, 542.8, 531.4, 554.0]",
01,,False,1,406,0.97,1,EA,THRESHOLD,566A-223,ZER,A,,Zero International Inc,Anodized aluminum,False,406,"[79.9, 556.2, 531.7, 567.5]",
02,,False,40,407,0.97,7,EA,HINGE,5BB1 4.5 X 4.5 NRP,IVE,630,,H.B. Ives,Satin stainless steel,False,407,"[79.9, 147.2, 527.7, 158.4]",
02,,False,40,407,0.97,1,EA,PANIC HARDWARE,WS-9927-EO,VON,626,,Von Duprin,Satin chrome,False,407,"[79.9, 160.8, 533.3, 172.1]",
02,,False,40,407,0.97,1,EA,PANIC HARDWARE,WS-9927-L-06,VON,626,,Von Duprin,Satin chrome,False,407,"[79.9, 174.3, 533.3, 185.5]",
02,,False,40,407,0.97,1,EA,RIM CYLINDER,20-057 ICX,SCH,626,,Schlage Lock Company,Satin chrome,False,407,"[79.9, 187.7, 532.6, 199.0]",
02,,False,40,407,0.97,2,EA,SURFACE CLOSER,4040XP SCUSH,LCN,689,,LCN Commercial Division,Aluminum painted,False,407,"[79.9, 201.2, 531.4, 212.4]",
02,,False,40,407,0.97,2,EA,KICK PLATE,"8400 10"" X 1"" LDW B-CS",IVE,630,,H.B. Ives,Satin stainless steel,False,407,"[79.9, 214.9, 527.7, 226.1]",
02,,False,40,407,0.97,1,EA,GASKETING,188SBK PSA,ZER,BK,,Zero International Inc,Black,False,407,"[79.9, 228.3, 531.7, 239.5]",
02,,False,40,407,0.97,1,SET,MEETING STILE,328AA-S,ZER,AA,,Zero International Inc,Anodized aluminum,False,407,"[79.9, 241.7, 531.7, 253.0]",
02,,False,40,407,0.97,1,EA,THRESHOLD,566A-223,ZER,A,,Zero International Inc,Anodized aluminum,False,407,"[79.9, 255.2, 531.7, 266.4]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,4,EA,HINGE,5BB1 4.5 X 4.5 NRP,IVE,630,,H.B. Ives,Satin stainless steel,False,407,"[79.9, 381.7, 527.7, 393.0]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,POWER TRANSFER,EPT10 CON,VON,689,,Von Duprin,Aluminum painted,False,407,"[79.9, 395.2, 533.3, 406.4]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,ELEC FIRE EXIT HARDWARE,RX-QEL-WS-9927-L-F-06 24 VDC,VON,626,,Von Duprin,Satin chrome,True,407,"[79.9, 408.6, 533.3, 431.4]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,RIM CYLINDER,20-057 ICX,SCH,626,,Schlage Lock Company,Satin chrome,False,407,"[79.9, 433.6, 532.6, 444.8]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,SURFACE CLOSER,4040XP SCUSH,LCN,689,,LCN Commercial Division,Aluminum painted,False,407,"[79.9, 447.3, 531.4, 458.5]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,GASKETING,188SBK PSA,ZER,BK,,Zero International Inc,Black,False,407,"[79.9, 460.7, 531.7, 471.9]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,THRESHOLD,566A-223,ZER,A,,Zero International Inc,Anodized aluminum,False,407,"[79.9, 474.1, 531.7, 485.4]",
03,,False,"12A, 33B, 39, 41A, 41B",407,0.97,1,EA,WIRE HARNESS,CON-12,SCH,,,Schlage Lock Company,,True,407,"[79.9, 487.6, 532.6, 498.8]",
04,,False,"4B, 24C, 33A",408,0.97,3,EA,HINGE,5BB1 4.5 X 4.5 NRP,IVE,630,,H.B. Ives,Satin stainless steel,False,408,"[79.9, 147.2, 527.7, 158.4]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,POWER TRANSFER,EPT10 CON,VON,689,,Von Duprin,Aluminum painted,False,408,"[79.9, 160.8, 533.3, 172.1]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,ELEC FIRE EXIT HARDWARE,QEL-98-L-F-06-CON 24 VDC,VON,626,,Von Duprin,Satin chrome,True,408,"[79.9, 174.3, 533.3, 197.1]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,RIM CYLINDER,20-057 ICX,SCH,626,,Schlage Lock Company,Satin chrome,False,408,"[79.9, 199.3, 532.6, 210.5]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,SURFACE CLOSER,4040XP RW/PA,LCN,689,,LCN Commercial Division,Aluminum painted,False,408,"[79.9, 212.7, 531.4, 223.9]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,WALL STOP,WS406/407CCV,IVE,630,,H.B. Ives,Satin stainless steel,False,408,"[79.9, 226.4, 527.7, 237.6]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,GASKETING,188SBK PSA,ZER,BK,,Zero International Inc,Black,False,408,"[79.9, 239.8, 531.7, 251.1]",
04,,False,"4B, 24C, 33A",408,0.97,1,EA,THRESHOLD,65A-223,ZER,A,,Zero International Inc,Anodized aluminum,False,408,"[79.9, 253.3, 531.7, 264.5]",
05,,False,"21A, 21B",408,0.97,3,EA,HINGE,5BB1 4.5 X 4.5,IVE,652,,H.B. Ives,Satin chrome plated steel,False,408,"[79.9, 411.7, 527.7, 423.0]",
05,,False,"21A, 21B",408,0.97,1,EA,CLASSROOM LOCK,ND70PD RHO,SCH,626,,Schlage Lock Company,Satin chrome,False,408,"[79.9, 425.2, 532.6, 436.4]",
05,,False,"21A, 21B",408,0.97,1,EA,SURFACE CLOSER,4040XP RW/PA,LCN,689,,LCN Commercial Division,Aluminum painted,False,408,"[79.9, 438.6, 531.4, 449.9]",
05,,False,"21A, 21B",408,0.97,1,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,630,,H.B. Ives,Satin stainless steel,False,408,"[79.9, 452.1, 527.7, 463.3]",
05,,False,"21A, 21B",408,0.97,1,EA,WALL STOP,WS406/407CCV,IVE,630,,H.B. Ives,Satin stainless steel,False,408,"[79.9, 465.7, 527.7, 477.0]",
05,,False,"21A, 21B",408,0.97,1,EA,GASKETING,188SBK PSA,ZER,BK,,Zero International Inc,Black,False,408,"[79.9, 479.2, 531.7, 490.4]",
06,,False,"42, 43A",409,0.97,3,EA,HINGE,5BB1 4.5 X 4.5,IVE,652,,H.B. Ives,Satin chrome plated steel,False,409,"[79.9, 147.2, 527.7, 158.4]",
06,,False,"42, 43A",409,0.97,1,EA,CLASSROOM LOCK,ND70PD RHO,SCH,626,,Schlage Lock Company,Satin chrome,False,409,"[79.9, 160.8, 532.6, 172.1]",
06,,False,"42, 43A",409,0.97,1,EA,ELECTRIC STRIKE,6211 FSE 12/16/24/28 VAC/VDC,VON,630,,Von Duprin,Satin stainless steel,True,409,"[79.9, 174.3, 533.3, 185.5]",
06,,False,"42, 43A",409,0.97,1,EA,SURF. AUTO OPERATOR,4642 WMS 120 VAC,LCN,689,,LCN Commercial Division,Aluminum painted,True,409,"[79.9, 187.7, 531.4, 199.0]",
06,,False,"42, 43A",409,0.97,2,EA,"ACTUATOR, TOUCH",8310-856,LCN,630,,LCN Commercial Division,Satin stainless steel,True,409,"[79.9, 201.2, 531.4, 212.4]",
06,,False,"42, 43A",409,0.97,1,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,630,,H.B. Ives,Satin stainless steel,False,409,"[79.9, 214.9, 527.7, 226.1]",
06,,False,"42, 43A",409,0.97,1,EA,WALL STOP,WS406/407CCV,IVE,630,,H.B. Ives,Satin stainless steel,False,409,"[79.9, 228.3, 527.7, 239.5]",
