set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
1.1,SLIDING AUTO EXTR ENTR,False,,15,0.97,1,,CYLINDER / CORE,FSIC PRIMUS,SCHLAGE,613 (OIL RUBBED BRONZE),,,Oil-rubbed bronze,,15,"[97.1, 87.2, 378.3, 92.1]",
1.2,CURTAINWALL EXTR ENTR SINGLE DOOR CARD READER,False,,15,0.96,3,,MORTISE HINGE,"5BB1 4.5"" x 4.5""",IVES,613 (OIL RUBBED BRONZE),"FULL MORTISE, FIVE KNUCKLE BB HINGE",,Oil-rubbed bronze,,15,"[97.1, 114.7, 484.7, 119.6]",
1.2,CURTAINWALL EXTR ENTR SINGLE DOOR CARD READER,False,,15,0.96,1,,MORTISE LOCKSET,"L9077, 18 LEVEL, L ESCUTCHEON - FSIC PRIMUS",SCHLAGE,613 (OIL RUBBED BRONZE),CLASSROOM SECURITY W/ HOLDBACK FUNCTION,,Oil-rubbed bronze,,15,"[97.1, 121.1, 504.2, 126.0]",
1.2,CURTAINWALL EXTR ENTR SINGLE DOOR CARD READER,False,,15,0.96,1,,ELECTRIC STRIKE,6200 SERIES,VON DUPRIN,613 (OIL RUBBED BRONZE),COORDINATE W/ OWNER'S SECUIRTY VENDOR,,Oil-rubbed bronze,,15,"[97.1, 127.5, 496.1, 132.3]",
1.2,CURTAINWALL EXTR ENTR SINGLE DOOR CARD READER,False,,15,0.96,1,,SURFACE CLOSER,4040XP - EDA ARM - METAL COVER,LCN,691 (LIGHT BRONZE),"EXTRA DUTY ARM, METAL COVER",LCN,Dull bronze painted,,15,"[97.1, 133.8, 468.5, 138.7]",
1.2,CURTAINWALL EXTR ENTR SINGLE DOOR CARD READER,False,,15,0.96,,,GASKETING / SWEEP,WEATHER GASKETING & SWEEP,PEMKO / NGP / ZERO,BLACK,THRESHOLD PROVIDED BY CURTAINWALL ENTRANCE MFR.,,Black,,15,"[97.1, 140.2, 527.5, 145.0]",
1.2,CURTAINWALL EXTR ENTR SINGLE DOOR CARD READER,False,,15,0.96,,,DOOR ACCESS CONTROL DEVICES,CARD READER / DPS / POWER SUPPLY / ETC (BY OTHERS),,,PREP/ROUGH-IN DOORS & FRAMES FOR DEVICES TO BE PROVIDED & INSTALLED BY OWNER'S SECURITY VENDOR,,,,15,"[97.1, 146.5, 546.7, 157.5]",
1.3,CURTAINWALL EXTR EGRESS SINGLE DOOR,False,,15,0.96,2,,MORTISE HINGE,"5BB1 4.5"" x 4.5""",IVES,613 (OIL RUBBED BRONZE),"FULL MORTISE, FIVE KNUCKLE BB HINGE",,Oil-rubbed bronze,,15,"[97.1, 167.7, 484.7, 172.6]",
1.3,CURTAINWALL EXTR EGRESS SINGLE DOOR,False,,15,0.96,1,,HW MORTISE HINGE,"5BB1HW 4.5"" x 4.5""",IVES,613 (OIL RUBBED BRONZE),,,Oil-rubbed bronze,,15,"[97.1, 174.1, 378.3, 178.9]",
1.3,CURTAINWALL EXTR EGRESS SINGLE DOOR,False,,15,0.96,1,,PANIC HARDWARE,"35A MORTISE DEVICE, CONCEALED VERTICAL RODS, 18 LEVER, L ESCUTCHEON, HARDWIRED ALARM KIT W/ POWER SUPPLY - FSIC PRIMUS",VON DUPRIN,613 (OIL RUBBED BRONZE),PANIC / CLASSROOM FUNCTION,,Oil-rubbed bronze,,15,"[97.1, 180.4, 462.4, 197.5]",
