set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
001,,False,,715,0.93,1,EA,MORTISE CYLINDER,20-061 ICX W/KEYED CONST. CORE,SCH,626,,Schlage,Satin chrome,,715,"[80.1, 488.2, 529.6, 510.8]",
001,,False,,715,0.93,1,EA,FSIC PERMANENT CORE,23-030,SCH,626,,Schlage,Satin chrome,,715,"[80.1, 513.2, 529.6, 524.3]",
001,,False,,715,0.93,1,,NOTE,BALANCE OF HARDWARE BY DOOR Mfr,,,,,,,715,"[80.1, 526.7, 430.5, 549.4]",
005,,False,,715,0.87,,EA,NOTE,ALL HARDWARE BY DOOR MANUFACTURER,,,,,,,715,"[111.3, 635.8, 417.7, 658.5]",
005.1,,False,,716,0.87,,EA,NOTE,ALL HARDWARE BY DOOR MANUFACTURER,,,,,,,716,"[111.3, 115.8, 417.7, 138.4]",
101,,False,,716,0.95,3,EA,HINGE,5BB1 4.5 X 4.5,IVE,652,"(PROVIDE NRP @ OUTSWING, LOCKABLE DOORS)",Ives,Satin chrome plated steel,,716,"[80.1, 196.0, 524.7, 230.1]",
101,,False,,716,0.95,1,EA,MORTISE LOCK,64-8205 FEJ 26D OFFICE FUNCTION,SAR,626,,Sargent,Satin chrome,,716,"[80.1, 232.4, 529.1, 255.1]",
101,,False,,716,0.95,1,EA,LFIC PERMANENT CORE,MATCH EXISTING KEY SYSTEM,SAR,626,,Sargent,Satin chrome,,716,"[80.1, 257.6, 529.1, 268.7]",
101,,False,,716,0.95,1,EA,SURFACE CLOSER,"4040XP RW/PA TBWMS X MTG BRKT, SPCR & PLATE AS REQ",LCN,689,,LCN,Aluminum painted,,716,"[80.1, 271.0, 528.6, 293.6]",
101,,False,,716,0.95,1,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,630,,Ives,Satin stainless steel,,716,"[80.1, 296.0, 524.7, 307.1]",
101,,False,,716,0.95,1,EA,WALL STOP,WS406/407CCV,IVE,630,,Ives,Satin stainless steel,,716,"[80.1, 309.5, 524.7, 320.6]",
101,,False,,716,0.95,1,EA,GASKETING,488S PSA H & J (USE SILENCERS @ NON-RATED DOORS),ZER,BK,,Zero International,Black,,716,"[80.1, 323.0, 528.6, 345.6]",
101.1,,False,,716,0.95,3,EA,HINGE,5BB1 4.5 X 4.5,IVE,652,"(PROVIDE NRP @ OUTSWING, LOCKABLE DOORS)",Ives,Satin chrome plated steel,,716,"[80.1, 403.1, 524.7, 437.3]",
101.1,,False,,716,0.95,1,EA,CYLINDRICAL LOCK,10-64-10XG05 LL 26D OFFICE FUNCTION,SAR,626,,Sargent,Satin chrome,,716,"[80.1, 439.6, 529.1, 462.2]",
101.1,,False,,716,0.95,1,EA,LFIC PERMANENT CORE,MATCH EXISTING KEY SYSTEM,SAR,626,,Sargent,Satin chrome,,716,"[80.1, 464.7, 529.1, 475.8]",
101.1,,False,,716,0.95,1,EA,SURFACE CLOSER,"4040XP RW/PA TBWMS X MTG BRKT, SPCR & PLATE AS REQ",LCN,689,,LCN,Aluminum painted,,716,"[80.1, 478.1, 528.6, 500.8]",
101.1,,False,,716,0.95,1,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,630,,Ives,Satin stainless steel,,716,"[80.1, 503.2, 524.7, 514.3]",
101.1,,False,,716,0.95,1,EA,WALL STOP,WS406/407CCV,IVE,630,,Ives,Satin stainless steel,,716,"[80.1, 516.7, 524.7, 527.8]",
101.1,,False,,716,0.95,1,EA,GASKETING,488S PSA H & J (USE SILENCERS @ NON-RATED DOORS),ZER,BK,,Zero International,Black,,716,"[80.1, 530.2, 528.6, 552.7]",
101AC,,False,,716,0.95,1,EA,CONT. HINGE,112XY,IVE,628,,Ives,"Satin aluminum, clear anodized",,716,"[80.1, 610.3, 524.7, 621.4]",
101AC,,False,,716,0.95,1,EA,MORTISE LOCK,64-8205 FEJ 26D OFFICE FUNCTION,SAR,626,,Sargent,Satin chrome,,716,"[80.1, 623.8, 529.1, 646.5]",
101AC,,False,,716,0.95,1,EA,LFIC PERMANENT CORE,MATCH EXISTING KEY SYSTEM,SAR,626,,Sargent,Satin chrome,,716,"[80.1, 648.8, 529.1, 659.9]",
