set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,Interior Single Bedroom - Classroom Lock/Ligature Resistant - No Closer - Rescue Hdw,False,,711,0.97,1,SET,Continuous Hinge-Double Acting,A508,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 166.1, 584.2, 179.0]",
01,Interior Single Bedroom - Classroom Lock/Ligature Resistant - No Closer - Rescue Hdw,False,,711,0.97,1,EA,Ligature Res. Mortise Lock-Classrm,MRX-A-05,TOW,630,,Townsteel,Satin stainless steel,,711,"[63.9, 179.4, 587.0, 192.3]",
01,Interior Single Bedroom - Classroom Lock/Ligature Resistant - No Closer - Rescue Hdw,False,,711,0.97,1,EA,Cylinder,Per project,TBD,630,,To Be Determined,Satin stainless steel,,711,"[63.9, 193.7, 583.7, 206.6]",
01,Interior Single Bedroom - Classroom Lock/Ligature Resistant - No Closer - Rescue Hdw,False,,711,0.97,1,EA,Door Stop,1841,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 207.8, 584.2, 220.8]",
01,Interior Single Bedroom - Classroom Lock/Ligature Resistant - No Closer - Rescue Hdw,False,,711,0.97,1,SET,Gasketing,ANTI-LIG 5050,NGP,BLK,,National Guard Products,Black,,711,"[63.9, 221.0, 583.6, 234.0]",
01,Interior Single Bedroom - Classroom Lock/Ligature Resistant - No Closer - Rescue Hdw,False,,711,0.97,1,EA,Emergency Rescue Stop,A509,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 234.3, 584.2, 247.3]",
02,Interior Single - Office Lockset/Ligature Resistant - No Closer - Continuous Hinge,False,,711,0.97,1,SET,Continuous Hinge,AC500 HT SEC,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 301.2, 584.2, 314.1]",
02,Interior Single - Office Lockset/Ligature Resistant - No Closer - Continuous Hinge,False,,711,0.97,1,EA,Ligature Res. Cyl. Lock-Office,CRX-A-81,TOW,630,,Townsteel,Satin stainless steel,,711,"[63.9, 314.6, 587.0, 327.6]",
02,Interior Single - Office Lockset/Ligature Resistant - No Closer - Continuous Hinge,False,,711,0.97,1,EA,Cylinder,Per project,TBD,630,,To Be Determined,Satin stainless steel,,711,"[63.9, 328.8, 583.7, 341.7]",
02,Interior Single - Office Lockset/Ligature Resistant - No Closer - Continuous Hinge,False,,711,0.97,1,EA,Door Stop,1841,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 343.1, 584.2, 356.0]",
02,Interior Single - Office Lockset/Ligature Resistant - No Closer - Continuous Hinge,False,,711,0.97,1,SET,Gasketing,ANTI-LIG 5050,NGP,BLK,,National Guard Products,Black,,711,"[63.9, 356.3, 583.6, 369.2]",
02A,Interior Single - Office Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hinge,False,,711,0.97,1,SET,Continuous Hinge,AC500 HT SEC,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 423.3, 584.2, 436.2]",
02A,Interior Single - Office Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hinge,False,,711,0.97,1,EA,Ligature Res. Cyl. Lock-Office,CRX-A-81,TOW,630,,Townsteel,Satin stainless steel,,711,"[63.9, 436.7, 587.0, 449.6]",
02A,Interior Single - Office Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hinge,False,,711,0.97,1,EA,Cylinder,Per project,TBD,630,,To Be Determined,Satin stainless steel,,711,"[63.9, 450.9, 583.7, 463.8]",
02A,Interior Single - Office Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hinge,False,,711,0.97,1,EA,OH Surface Closer - Track Arm,4210T/4510T TRX mount on public side,LCN,689,,LCN,Aluminum painted,,711,"[63.9, 465.1, 582.6, 478.1]",
02A,Interior Single - Office Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hinge,False,,711,0.97,1,EA,Door Stop,1841,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 479.4, 584.2, 492.4]",
02A,Interior Single - Office Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hinge,False,,711,0.97,1,SET,Gasketing,ANTI-LIG 5050,NGP,BLK,,National Guard Products,Black,,711,"[63.9, 492.5, 583.6, 505.4]",
03,Interior Single - Storeroom Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hng,False,,711,0.97,1,SET,Continuous Hinge,AC500 HT SEC,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 559.6, 584.2, 572.5]",
03,Interior Single - Storeroom Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hng,False,,711,0.97,1,EA,Ligature Res. Cyl. Lock-Storerm,CRX-A-86,TOW,630,,Townsteel,Satin stainless steel,,711,"[63.9, 572.9, 587.0, 585.8]",
03,Interior Single - Storeroom Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hng,False,,711,0.97,1,EA,Cylinder,Per project,TBD,630,,To Be Determined,Satin stainless steel,,711,"[63.9, 587.2, 583.7, 600.1]",
03,Interior Single - Storeroom Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hng,False,,711,0.97,1,EA,OH Surface Closer - Track Arm,4040XPT TROX,LCN,689,,LCN,Aluminum painted,,711,"[63.9, 601.5, 582.6, 614.4]",
03,Interior Single - Storeroom Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hng,False,,711,0.97,1,EA,Door Stop,1841,ABH,630,,ABH Manufacturing,Satin stainless steel,,711,"[63.9, 615.8, 584.2, 628.7]",
03,Interior Single - Storeroom Lock/Ligature Resistant - Surface Closer/Track-Arm - Cont Hng,False,,711,0.97,1,SET,Gasketing,ANTI-LIG 5050,NGP,BLK,,National Guard Products,Black,,711,"[63.9, 628.9, 583.6, 641.8]",
04,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,SET,Continuous Hinge,AC500 HT SEC,ABH,630,,ABH Manufacturing,Satin stainless steel,,712,"[63.9, 127.1, 584.2, 140.0]",
04,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,Ligature Res. Cyl. Lock-Storerm,CRX-A-86,TOW,630,,Townsteel,Satin stainless steel,,712,"[63.9, 140.4, 587.0, 153.3]",
04,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,Cylinder,Per project,TBD,630,,To Be Determined,Satin stainless steel,,712,"[63.9, 154.7, 583.7, 167.6]",
04,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,OH Surface Closer,4210T/4510T TBTRX mount public side,LCN,689,,LCN,Aluminum painted,,712,"[63.9, 168.8, 582.6, 181.8]",
04,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,Door Stop,1841,ABH,630,,ABH Manufacturing,Satin stainless steel,,712,"[63.9, 183.1, 584.2, 196.0]",
04,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,SET,Gasketing,ANTI-LIG 5050,NGP,BLK,,National Guard Products,Black,,712,"[63.9, 196.3, 583.6, 209.2]",
04A,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,SET,Continuous Hinge,AC500 HT SEC,ABH,630,,ABH Manufacturing,Satin stainless steel,,712,"[63.9, 262.2, 584.2, 275.1]",
04A,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,Ligature Res. Cyl. Lock-Storerm,CRX-A-86,TOW,630,,Townsteel,Satin stainless steel,,712,"[63.9, 275.6, 587.0, 288.6]",
04A,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,Cylinder,Per project,TBD,630,,To Be Determined,Satin stainless steel,,712,"[63.9, 289.8, 583.7, 302.7]",
04A,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,EA,OH Surface Closer,4040XPT BUMP Torx,LCN,689,,LCN,Aluminum painted,,712,"[63.9, 304.1, 582.6, 317.0]",
04A,Interior Single - Storeroom Lockset/Ligature Resistant - Surface Closer - Continuous Hng,False,,712,0.97,1,SET,Gasketing,ANTI-LIG 5050,NGP,BLK,,National Guard Products,Black,,712,"[63.9, 318.4, 583.6, 331.3]",
05,Interior Single - Storeroom Lockset - Surface Closer - Butt Hinges,False,,712,0.96,,,Hinge-HT,CB51 HT,PBB,630,,PBB,Satin stainless steel,,712,"[63.9, 385.4, 582.7, 398.4]",
05,Interior Single - Storeroom Lockset - Surface Closer - Butt Hinges,False,,712,0.96,1,EA,Cyl. Lock-Storerm,CDC-86-S,TOW,626,,Townsteel,Satin chrome,,712,"[63.9, 398.8, 587.0, 411.7]",
05,Interior Single - Storeroom Lockset - Surface Closer - Butt Hinges,False,,712,0.96,1,EA,Cylinder,Per project,TBD,626,,To Be Determined,Satin chrome,,712,"[63.9, 413.0, 583.7, 426.0]",
05,Interior Single - Storeroom Lockset - Surface Closer - Butt Hinges,False,,712,0.96,1,EA,OH Surface Closer,4040XP/4040XP EDA,LCN,689,,LCN,Aluminum painted,,712,"[63.9, 427.2, 582.6, 440.2]",
05,Interior Single - Storeroom Lockset - Surface Closer - Butt Hinges,False,,712,0.96,1,EA,Door Stop,Per Specification,,,,,,,712,"[63.9, 441.5, 574.0, 454.4]",
05,Interior Single - Storeroom Lockset - Surface Closer - Butt Hinges,False,,712,0.96,1,SET,Gasketing,5050,NGP,BLK,,National Guard Products,Black,,712,"[63.9, 454.7, 583.6, 467.6]",
05A,Interior Single - Storeroom Lockset - No Closer - Butt Hinges,False,,712,0.96,,,Hinge-HT,CB51 HT,PBB,630,,PBB,Satin stainless steel,,712,"[63.9, 520.8, 582.7, 533.8]",
05A,Interior Single - Storeroom Lockset - No Closer - Butt Hinges,False,,712,0.96,1,EA,Cyl. Lock-Storerm,CDC-86-S,TOW,626,,Townsteel,Satin chrome,,712,"[63.9, 534.1, 587.0, 547.1]",
05A,Interior Single - Storeroom Lockset - No Closer - Butt Hinges,False,,712,0.96,1,EA,Cylinder,Per project,TBD,626,,To Be Determined,Satin chrome,,712,"[63.9, 548.4, 583.7, 561.4]",
05A,Interior Single - Storeroom Lockset - No Closer - Butt Hinges,False,,712,0.96,1,EA,Door Stop,Per Specification,,,,,,,712,"[63.9, 562.7, 574.0, 575.6]",
05A,Interior Single - Storeroom Lockset - No Closer - Butt Hinges,False,,712,0.96,1,SET,Gasketing,5050,NGP,BLK,,National Guard Products,Black,,712,"[63.9, 575.8, 583.6, 588.7]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,,,Hinge-HT,CB51 HT,PBB,630,,PBB,Satin stainless steel,,713,"[63.9, 127.1, 582.7, 140.0]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Hinge-Power Transfer,CB51EL HT,PBB,630,,PBB,Satin stainless steel,,713,"[63.9, 140.4, 582.7, 153.3]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Fail Secure Cyl. Lock,XCDC-86-S-RQE Fail Secure 24VDC,TOW,626,,Townsteel,Satin chrome,,713,"[63.9, 153.7, 587.0, 166.6]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Cylinder,Per project,TBD,626,,To Be Determined,Satin chrome,,713,"[63.9, 168.0, 583.7, 180.9]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,OH Surface Closer,4040XP/4040XP EDA,LCN,689,,LCN,Aluminum painted,,713,"[63.9, 182.3, 582.6, 195.2]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Door Stop,Per Specification,,,,,,,713,"[63.9, 196.4, 574.0, 209.4]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,SET,Gasketing,5050,NGP,BLK,,National Guard Products,Black,,713,"[63.9, 209.6, 583.6, 222.6]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Card Reader,By Division 28,,,,,,,713,"[63.9, 222.9, 574.2, 235.9]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Door Position Switch,By Division 28,,,,,,,713,"[63.9, 236.3, 574.2, 249.2]",
06,Interior Single - Card Reader - Elec Fail-Secure Lock - Surface Closer - Butt Hinges,False,,713,0.96,1,EA,Lock Power Supply,By Division 28,,,,,,,713,"[63.9, 249.7, 574.2, 262.7]",
06A,,True,,713,0.9,,,,,,,,,,,,,
