set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,,False,"D1, D2","174, 175",0.94,1,EA,CONT. HINGE,112XY,IVE,711,,Ives,Black anodized,,174,"[70.0, 241.6, 535.5, 255.2]",
01,,False,"D1, D2","174, 175",0.94,1,EA,PANIC HARDWARE,33A-NL-OP-388,VON,315,,Von Duprin,,,174,"[70.0, 261.2, 541.1, 274.8]",
01,,False,"D1, D2","174, 175",0.94,1,EA,RIM CYLINDER,80-329,SCH,622,,Schlage,Flat black,,174,"[70.0, 280.6, 540.5, 294.2]",
01,,False,"D1, D2","174, 175",0.94,1,EA,ELECTRIC STRIKE,6300 FSE,VON,630,,Von Duprin,Satin stainless steel,,174,"[70.0, 300.2, 541.1, 313.8]",
01,,False,"D1, D2","174, 175",0.94,1,EA,LONG DOOR PULL,"9264 48"" 20"" O",IVE,BLK,,Ives,Black,,174,"[70.0, 319.6, 535.5, 333.2]",
01,,False,"D1, D2","174, 175",0.94,1,EA,OH STOP,100S,GLY,BLK,,Glynn-Johnson,Black,,174,"[70.0, 339.2, 538.7, 352.8]",
01,,False,"D1, D2","174, 175",0.94,1,EA-R,AUTO OPERATOR,9542,LCN,ANCL,,LCN,Anodized clear,,174,"[70.0, 358.7, 539.4, 372.2]",
01,,False,"D1, D2","174, 175",0.94,4,EA-R,"ACTUATOR, TOUCH",8310-818,LCN,630,,LCN,Satin stainless steel,,174,"[69.9, 378.2, 539.4, 391.8]",
01,,False,"D1, D2","174, 175",0.94,1,EA,DOOR SWEEP,8192A x door width,ZER,,,Zero International,,,174,"[69.9, 392.7, 539.4, 406.3]",
01,,False,"D1, D2","174, 175",0.94,1,EA,THRESHOLD,545A x door width,ZER,,,Zero International,,,174,"[69.9, 407.3, 539.4, 420.9]",
01,,False,"D1, D2","174, 175",0.94,1,EA,DOOR SEALANT,GASKETING BY DR SUPPLIER,UNK,,,Unknown,,,174,"[69.9, 426.7, 540.5, 440.3]",
01,,False,"D1, D2","174, 175",0.94,1,EA,WIRE HARNESS,CON. TO SUIT,SCH,,,Schlage,,,174,"[69.9, 446.3, 540.4, 459.9]",
01,,False,"D1, D2","174, 175",0.94,1,EA,CREDENTIAL,BY OTHERS,UNK,,,Unknown,,,174,"[69.9, 465.7, 540.5, 479.3]",
01,,False,"D1, D2","174, 175",0.94,1,EA,READER/CONTROLL,BY OTHERS,UNK,,,Unknown,,,174,"[69.9, 485.1, 540.5, 498.7]",
01,,False,"D1, D2","174, 175",0.94,1,EA,DOOR CONTACT,679-05 TO SUIT DR MATERIAL,SCE,WHT,,Schlage Electronics,White,,174,"[69.9, 504.7, 539.9, 518.3]",
01,,False,"D1, D2","174, 175",0.94,1,EA,POWER SUPPLY,PS904 900-4RL 120/240 VAC,SCE,LGR,,Schlage Electronics,,,174,"[69.9, 524.1, 539.9, 537.7]",
02,,False,"D3, D5",175,0.95,1,EA,CONT. HINGE,112XY,IVE,711,,Ives,Black anodized,,175,"[70.0, 219.6, 535.4, 233.2]",
02,,False,"D3, D5",175,0.95,1,EA,PANIC HARDWARE,33A-NL-OP-388,VON,315,,Von Duprin,,,175,"[70.0, 239.0, 540.9, 252.6]",
02,,False,"D3, D5",175,0.95,1,EA,RIM CYLINDER,80-329,SCH,622,,Schlage,Flat black,,175,"[69.9, 258.6, 540.3, 272.2]",
02,,False,"D3, D5",175,0.95,1,EA,LONG DOOR PULL,"9264 48"" 20"" O",IVE,BLK,,Ives,Black,,175,"[69.9, 278.0, 535.4, 291.6]",
02,,False,"D3, D5",175,0.95,1,EA,OH STOP,100S,GLY,BLK,,Glynn-Johnson,Black,,175,"[69.9, 297.6, 538.6, 311.2]",
03,,False,D4,175,0.96,3,EA,HINGE,5BB1 4.5 X 4 NRP,IVE,622,,Ives,Flat black,,175,"[70.0, 488.1, 535.0, 501.7]",
03,,False,D4,175,0.96,1,EA,FIRE EXIT HARDWARE,98-NL-OP-F 110MD,VON,315,,Von Duprin,,,175,"[70.0, 507.7, 540.6, 521.3]",
03,,False,D4,175,0.96,1,EA,RIM CYLINDER,80-329,SCH,622,,Schlage,Flat black,,175,"[70.0, 527.1, 540.0, 540.7]",
03,,False,D4,175,0.96,1,EA,ELECTRIC STRIKE,6300 FSE,VON,630,,Von Duprin,Satin stainless steel,,175,"[69.9, 546.7, 540.6, 560.3]",
03,,False,D4,175,0.96,1,EA,DOOR PULL,8190HD 10”,IVE,BLK,,Ives,Black,,175,"[70.0, 566.1, 535.0, 580.0]",
03,,False,D4,175,0.96,1,EA,OH STOP,90S,GLY,BLK,,Glynn-Johnson,Black,,175,"[69.5, 586.3, 538.2, 599.9]",
03,,False,D4,175,0.96,1,EA,SURFACE CLOSER,4040XP LONG,LCN,622,,LCN,Flat black,,175,"[69.5, 605.8, 538.9, 619.4]",
03,,False,D4,175,0.96,1,EA,GASKETING,312A-S x door width x (2) door,ZER,A,,Zero International,Anodized aluminum,,175,"[69.5, 625.3, 538.9, 638.9]",
03,,False,D4,175,0.96,1,EA,DOOR SWEEP,8192AA x door width,ZER,AA,,Zero International,Anodized aluminum,,175,"[70.0, 644.9, 538.9, 658.4]",
03,,False,D4,175,0.96,1,EA,THRESHOLD,545A x door width,ZER,A,,Zero International,Anodized aluminum,,175,"[70.0, 664.3, 538.9, 677.9]",
