set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
103,,False,,25,0.84,8,EA,Heavy Duty Hinges,5BB1HW 4.4” x 4.5” in 622 flat black finish – verify all rated doors will have steel-based hinges under the 622 finishes,,,,,,,25,"[77.4, 89.0, 523.6, 110.5]",
103,,False,,25,0.84,1,EA,Fire Rated Integrated-Type Exit/Panic Device,"XT-L with #01 exit only, no trim x white finishes (bar and MEC, matching end caps white) x Syntegra manufacturing – top latch only",SY,WHITE,,,White,,25,"[77.4, 385.5, 527.1, 453.1]",mfr
103,,False,,25,0.84,2,EA,Pocket Closer,TS93 series as required per door size and swing (90-degree pocket closer where doors swing 90 and 180 pocket closer where doors swing 180),DO,693,,,Black painted,,25,"[77.4, 471.6, 528.8, 516.1]",mfr
103,,False,,25,0.84,2,EA,Mag Holder Device,2400L series x armature extension,AB,693,,,Black painted,,25,"[77.4, 520.0, 527.1, 530.0]",
103,,False,,25,0.84,2,EA,Wall Mag Armature Extension,S20020 (or length as required for 90 degree parallel to wall),AB,693,,,Black painted,,25,"[77.4, 534.0, 527.1, 555.5]",mfr
103,,False,,25,0.84,2,EA,UL Listed Seal (for rated door condition),By Syntegra manufacturing,,,,,,,25,"[77.4, 559.5, 383.5, 581.0]",
104,,False,,26,0.84,8,EA,Heavy Duty Hinges,5BB1HW 4.4” x 4.5” in 622 flat black finish – verify all rated doors will have steel-based hinges under the 622 finishes,,,,,,,26,"[77.4, 89.0, 523.6, 110.5]",
104,,False,,26,0.84,1,EA,Active Leaf: Fire Rated Integrated-Type Exit/Panic Devices,"XT-L with #14 passage function and project matching lever (match Schlage Longitude Lever) x white finishes (MEC, matching end caps) x Syntegra manufacturing – top latch",SY,WHITE,,,White,,26,"[77.4, 351.3, 527.1, 395.8]",mfr
104,,False,,26,0.84,1,EA,Inactive Leaf: Fire Rated Integrated-Type Exit/Panic Device,"XT-L with #01 exit only, no trim x white finishes (MEC, matching end caps) x Syntegra manufacturing – top latch only",SY,WHITE,,,White,,26,"[77.4, 413.4, 527.1, 446.3]",mfr
104,,False,,26,0.84,2,EA,Pocket Closer,TS93 series as required per door size and swing (90-degree pocket closer),DO,693,,,Black painted,,26,"[77.4, 450.3, 528.8, 471.8]",mfr
104,,False,,26,0.84,2,EA,Mag Holder Device,2400L series x armature extension,AB,693,,,Black painted,,26,"[77.4, 475.8, 527.1, 485.7]",
104,,False,,26,0.84,2,EA,Wall Mag Armature Extension,S20020 (or length as required for 90 degree parallel to wall),AB,693,,,Black painted,,26,"[77.4, 489.8, 527.1, 511.3]",mfr
104,,False,,26,0.84,2,EA,UL Listed Seal (for rated door condition),By Syntegra manufacturing,,,,,,,26,"[77.4, 515.2, 383.5, 536.8]",
A1,Entry Unit Doors,False,,53,0.87,4,EA,Hanging and Closing Devices (devices include UL listed spring closing devices,K51M-450-B4 x Stops (size & quantity per 08 71 00) x Bright Chrome Finish (call Waterson for custom order),WA,625,,,Bright chrome,,53,"[77.0, 172.8, 528.0, 217.3]",
A1,Entry Unit Doors,False,,53,0.87,1,EA,Wireless Lockset x Deadbolt / Thumbturn,Latch M2 ADA offset pinned deadbolt x Return to Door Lever x Split Finish (Matte Black Finish Corridor Side x Bright Chrome Finish interior side),LA,,,,,,53,"[77.0, 221.0, 524.2, 288.5]",
A1,Entry Unit Doors,False,,53,0.87,1,EA,I/C Cylinders (Rim or Mortise),20-057 or 20-061 (Rim or Mortise type & quantity as required by locking device x appropriate cam x blocking rings) as required in order to have cylinders FLUSH with face of Latch M2 escutcheon – verify before submittals,SC,622,,Schlage,Flat black,,53,"[77.0, 329.2, 525.8, 385.3]",
A1,Entry Unit Doors,False,,53,0.87,1,EA,Permanent Core,20-030 as required in order to have cylinders FLUSH with face of Latch M2 escutcheon – verify before submittals,SC,622,,Schlage,Flat black,,53,"[77.0, 389.0, 525.8, 422.0]",
A1,Entry Unit Doors,False,,53,0.87,1,EA,Wall Door Bumper Stop,4050.260 (3.75”) x Polished Chrome,BA,260,,,,,53,"[77.0, 425.7, 525.3, 435.7]",
A1,Entry Unit Doors,False,,53,0.87,2,EA,Door Viewers,Trimco #975U,TR,625,,,Bright chrome,,53,"[77.0, 439.5, 525.3, 449.5]",
