set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
103,,False,,389,0.97,3,EA,HINGE,5BB1HW 4.5 X 4.5,IVE,652,,Ives,Satin chrome plated steel,False,389,"[80.1, 246.2, 527.4, 257.3]",
103,,False,,389,0.97,1,EA,OFFICE/ENTRY LOCK,L9050T 17L 09-544,SCH,626,,Schlage,Satin chrome,False,389,"[80.1, 259.6, 532.4, 270.7]",
103,,False,,389,0.97,1,EA,PERMANENT CORE,COORDINATE WITH OWNER,SCH,626,,Schlage,Satin chrome,False,389,"[80.1, 273.2, 532.4, 284.3]",
103,,False,,389,0.97,1,EA,WALL STOP,WS406/407CVX,IVE,630,,Ives,Satin stainless steel,False,389,"[80.1, 286.6, 527.4, 297.7]",
103,,False,,389,0.97,3,EA,SILENCER,SR64,IVE,GRY,,Ives,Gray,False,389,"[80.1, 300.2, 527.4, 311.3]",
103A,,False,,389,0.96,3,EA,HINGE,5BB1HW 4.5 X 4.5,IVE,652,,Ives,Satin chrome plated steel,False,389,"[80.1, 486.4, 527.4, 497.5]",
103A,,False,,389,0.96,1,EA,OFFICE/ENTRY LOCK,L9050T 17L 09-544,SCH,626,,Schlage,Satin chrome,False,389,"[80.1, 499.9, 532.4, 511.0]",
103A,,False,,389,0.96,1,EA,PERMANENT CORE,COORDINATE WITH OWNER,SCH,626,,Schlage,Satin chrome,False,389,"[80.1, 513.4, 532.4, 524.5]",
103A,,False,,389,0.96,1,EA,WALL STOP,WS406/407CVX,IVE,630,,Ives,Satin stainless steel,False,389,"[80.1, 526.9, 527.4, 538.0]",
103A,,False,,389,0.96,1,EA,,GASKETING BY DOOR/FRAME MANUFACTURER,,,,,,False,389,"[80.1, 540.4, 419.5, 562.9]",
201,,False,,"389, 390",0.97,3,EA,HINGE,5BB1HW 4.5 X 4.5,IVE,652,,Ives,Satin chrome plated steel,False,390,"[80.1, 99.5, 527.4, 110.6]",
201,,False,,"389, 390",0.97,1,EA,STOREROOM LOCK,L9080T 17L,SCH,626,,Schlage,Satin chrome,False,390,"[80.1, 113.0, 532.4, 124.2]",
201,,False,,"389, 390",0.97,1,EA,PERMANENT CORE,COORDINATE WITH OWNER,SCH,626,,Schlage,Satin chrome,False,390,"[80.1, 126.5, 532.4, 137.6]",
201,,False,,"389, 390",0.97,1,EA,SURFACE CLOSER,4040XP,LCN,689,,LCN,Aluminum painted,False,390,"[80.1, 140.0, 531.3, 151.2]",
201,,False,,"389, 390",0.97,1,EA,KICK PLATE,"8400 10"" X 2"" LDW B-CS",IVE,630,,Ives,Satin stainless steel,False,390,"[80.1, 153.5, 527.4, 164.6]",
201,,False,,"389, 390",0.97,1,EA,WALL STOP,WS406/407CVX,IVE,630,,Ives,Satin stainless steel,False,390,"[80.1, 167.0, 527.4, 178.2]",
201,,False,,"389, 390",0.97,1,EA,GASKETING,488SBK PSA,ZER,BK,,Zero International,Black,False,390,"[80.1, 180.5, 531.3, 191.6]",
201C,,False,,390,0.97,3,EA,HINGE,5BB1HW 4.5 X 4.5,IVE,652,,Ives,Satin chrome plated steel,False,390,"[80.1, 366.8, 527.4, 377.9]",
201C,,False,,390,0.97,1,EA,STOREROOM LOCK,L9080T 17L,SCH,626,,Schlage,Satin chrome,False,390,"[80.1, 380.3, 532.4, 391.4]",
201C,,False,,390,0.97,1,EA,PERMANENT CORE,COORDINATE WITH OWNER,SCH,626,,Schlage,Satin chrome,False,390,"[80.1, 393.8, 532.4, 404.9]",
