set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,3,EA,BB HINGE,,,BLK,,,Black,,7,"[84.0, 303.6, 283.6, 314.5]",
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,1,EA,ENTRY SET (SCHLAGE LATITUDE LEVER STYLE),,,BLK,,,Black,,7,"[84.0, 316.2, 283.6, 352.5]",
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,1,EA,DEADBOLT W/ KEYFOB ACCESS,,,BLK,,,Black,,7,"[84.0, 354.2, 283.6, 377.8]",
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,1,EA,OH STOP,,,BLK,,,Black,,7,"[84.0, 379.5, 283.6, 390.4]",
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,1,EA,SURFACE CLOSER,,,BLK,,,Black,,7,"[84.0, 392.1, 283.6, 403.1]",
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,1,SET,SEALS (SMOKE),,,BLK,,,Black,,7,"[84.0, 404.8, 283.6, 415.7]",
01,Interior Unit Entry Swing Doors,False,U1,7,0.93,1,EA,DOOR VIEWER,,,BLK,,,Black,,7,"[84.0, 417.4, 283.6, 428.4]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,3,EA,BB HINGE,,,BLK,,,Black,,7,"[84.0, 484.7, 283.6, 495.6]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,EA,ENTRY SET (SCHLAGE LATITUDE LEVER STYLE),,,BLK,,,Black,,7,"[84.0, 497.3, 283.6, 533.5]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,EA,DEADBOLT W/ KEYFOB ACCESS (EXTERIOR DOOR ONLY),,,BLK,,,Black,,7,"[84.0, 535.3, 283.6, 584.1]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,EA,OH STOP,,,BLK,,,Black,,7,"[84.0, 585.9, 283.6, 596.8]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,EA,SURFACE CLOSER,,,BLK,,,Black,,7,"[84.0, 598.5, 283.6, 609.4]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,SET,SEALS (THERMAL),,,BLK,,,Black,,7,"[84.0, 611.2, 283.6, 622.1]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,EA,THRESHOLD,,,BLK,,,Black,,7,"[84.0, 623.8, 283.6, 634.7]",
02,Exterior Unit Entries & Balconies Swing Doors,False,U3,7,0.92,1,EA,DOOR VIEWER (ENTRY DOORS ONLY),,,BLK,,,Black,,7,"[84.0, 636.5, 283.6, 672.7]",
03,Bathrooms/ Bedrooms Swing Doors,False,"U5, U6","7, 8",0.91,3,EA,PB HINGE,,,BLK,,,Black,,8,"[84.0, 117.7, 283.6, 128.7]",
03,Bathrooms/ Bedrooms Swing Doors,False,"U5, U6","7, 8",0.91,1,EA,PRIVACY SET (SCHLAGE LATITUDE LEVER STYLE),,,BLK,,,Black,,8,"[84.0, 130.4, 283.6, 166.6]",
03,Bathrooms/ Bedrooms Swing Doors,False,"U5, U6","7, 8",0.91,1,EA,WALL STOP,,,BLK,,,Black,,8,"[84.0, 168.3, 283.6, 179.3]",
04,Closets/ Laundry Swing Doors,False,"U7, U9",8,0.91,2,EA,BB HINGE,,,BLK,,,Black,,8,"[84.0, 235.6, 283.6, 246.5]",
04,Closets/ Laundry Swing Doors,False,"U7, U9",8,0.91,1,EA,PASSAGE SET (SCHLAGE LATITUDE LEVER STYLE),,,BLK,,,Black,,8,"[84.0, 248.2, 283.6, 284.5]",
04,Closets/ Laundry Swing Doors,False,"U7, U9",8,0.91,1,EA,HINGE STOP,,,BLK,,,Black,,8,"[84.0, 286.2, 283.6, 297.1]",
05,Mechanical Closet Swing Doors,False,"U11, U12",8,0.91,3,EA,PB HINGE,,,BLK,,,Black,,8,"[84.0, 353.4, 283.6, 364.4]",
05,Mechanical Closet Swing Doors,False,"U11, U12",8,0.91,1,EA,PASSAGE SET (SCHLAGE LATITUDE LEVER STYLE),,,BLK,,,Black,,8,"[84.0, 366.1, 283.6, 402.3]",
05,Mechanical Closet Swing Doors,False,"U11, U12",8,0.91,1,EA,HINGE STOP,,,BLK,,,Black,,8,"[84.0, 404.0, 283.6, 415.0]",
