set_number,set_description,not_used,doors,set_pages,set_confidence,qty,unit,description,catalog_number,mfr,finish,notes,mfr_name,finish_name,electrified,component_page,component_bbox,low_confidence_fields
02,,False,100A,"418, 419",0.92,2,EA,PIVOT SET,7215 SET,IVE,626,,Ives,Satin chrome,,418,"[80.1, 147.4, 524.7, 158.5]",
02,,False,100A,"418, 419",0.92,2,EA,INTERMEDIATE PIVOT,7215 INT,IVE,626,,Ives,Satin chrome,,418,"[80.1, 160.8, 524.7, 171.9]",
02,,False,100A,"418, 419",0.92,1,EA,REMOVABLE MULLION,KR4954 STAB,VON,689,,Von Duprin,Aluminum painted,,418,"[80.1, 174.4, 530.2, 185.5]",
02,,False,100A,"418, 419",0.92,1,EA,ELEC PANIC HARDWARE,RX-LC-QEL-99-EO W/CYL HOLE- CON-SNB 24 VDC,VON,626,,Von Duprin,Satin chrome,,418,"[80.1, 187.8, 530.2, 210.4]",
02,,False,100A,"418, 419",0.92,1,EA,ELEC PANIC HARDWARE,RX-LC-QEL-99-EO-CON-SNB 24 VDC,VON,626,,Von Duprin,Satin chrome,,418,"[80.1, 212.9, 530.2, 235.4]",
02,,False,100A,"418, 419",0.92,1,EA,MULLION STORAGE KIT,MT54,VON,689,,Von Duprin,Aluminum painted,,418,"[80.1, 237.9, 530.2, 249.0]",
02,,False,100A,"418, 419",0.92,1,EA,FSIC RIM CYLINDER,20-057 ICX W/CONST. CORE,SCH,626,,Schlage,Satin chrome,,418,"[80.1, 251.3, 529.6, 262.4]",
02,,False,100A,"418, 419",0.92,2,EA,FSIC MORTISE CYLINDER,20-061 ICX W/CONST. CORE,SCH,626,,Schlage,Satin chrome,,418,"[80.1, 264.9, 529.6, 276.0]",
02,,False,100A,"418, 419",0.92,3,EA,FSIC PRIMUS PERMANENT CORE,20-740-XP CKC - MATCH EXISTING KEYWAY SYSTEM,SCH,626,,Schlage,Satin chrome,,418,"[80.1, 278.3, 529.6, 300.9]",
02,,False,100A,"418, 419",0.92,2,EA,LONG DOOR PULL,"9264F 36"" 20"" STD",IVE,630-316,,Ives,,,418,"[80.1, 303.4, 524.7, 314.5]",
02,,False,100A,"418, 419",0.92,1,EA,SURF. AUTO OPERATOR W/ MOUNTING PLATE,9553 LONG2 LESS TRACK HL/D AS REQ (120/240 VAC),LCN,ANCLR,,LCN,,,418,"[80.1, 316.8, 528.6, 339.5]",
02,,False,100A,"418, 419",0.92,1,EA,ACTUATOR WITH BOLLARD KIT,8310-3836T,LCN,689,,LCN,Aluminum painted,,418,"[80.1, 341.9, 528.6, 364.4]",
02,,False,100A,"418, 419",0.92,1,EA,"ACTUATOR, TOUCHLESS",8310-813J - INTERIOR MULLION MOUNT,LCN,,,LCN,,,418,"[80.1, 366.9, 528.6, 389.5]",
02,,False,100A,"418, 419",0.92,2,EA,ACTIVATION RECEIVER,8310-865 - AS REQUIRED,LCN,,,LCN,,,418,"[80.1, 391.8, 528.6, 402.9]",
02,,False,100A,"418, 419",0.92,1,EA,MULLION SEAL,139N PSA,ZER,,,Zero International,,,418,"[80.1, 405.4, 528.6, 416.5]",
02,,False,100A,"418, 419",0.92,,,SEALS - AS TESTED BY DOOR MANUFACTURER,BY DOOR / FRAME MANUFACTURER,,,,,,,418,"[147.7, 418.9, 379.1, 441.5]",
02,,False,100A,"418, 419",0.92,1,EA,THRESHOLD & 2 SWEEPS,THRESHOLD AND SWEEP by Door/Frame Mfgr.,B/O,,,By Others,,,418,"[80.1, 443.8, 525.8, 466.4]",
02,,False,100A,"418, 419",0.92,1,EA,"MULTITECH READER - FURNISHED, INSTALLED, COMMISSIONED BY DIV 28",MT15B 5VDC - 28VDC - AS REQUIRED,SCE,BLK,,Schlage Electronics,Black,,418,"[80.1, 468.9, 529.1, 502.9]",
